Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,48.80,488,512,248749,0.1950,6.70,36.97,-9999,14,0.45,2.85,36.1,1,92744,110
2000,49.10,491,509,251876,0.1900,6.79,37.12,-9999,11,0.47,2.75,38.2,2,93970,231
3000,49.90,499,501,254913,0.1850,6.87,37.24,-9999,10,0.44,2.87,34.9,0,95162,337
4000,50.30,503,497,257770,0.1800,6.95,37.42,-9999,12,0.62,2.89,37.1,1,96282,458
5000,49.20,492,508,260657,0.1750,7.04,37.61,-9999,13,0.66,2.90,37.4,0,97415,583
6000,51.50,515,485,263533,0.1700,7.12,37.73,-9999,17,0.47,2.93,38.1,1,98543,704
7000,52.70,527,473,266292,0.1650,7.21,37.87,-9999,12,0.41,2.98,38.6,1,99626,811
8000,52.30,523,477,268961,0.1600,7.30,37.98,-9999,10,0.42,2.82,38.5,3,100673,947
9000,51.70,517,483,271722,0.1550,7.38,38.13,-9999,14,0.45,2.90,37.4,1,101757,1131
10000,52.50,525,475,274389,0.1500,7.47,38.25,-9999,20,0.50,2.95,38.6,1,102803,1356
