Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,57.80,578,422,1498920,0.1416,65.54,0.056391,0.704,0.0135,121.5,82898,11,0,0.78,2.83,30.0,0,590038,87
2000,58.40,584,416,1500533,0.1407,65.59,0.051910,0.288,0.0054,121.4,83108,30,0,0.77,2.89,31.0,0,590685,179
3000,60.00,600,400,1502208,0.1399,65.63,0.054943,0.257,0.0056,121.4,83321,66,0,0.75,2.87,30.4,0,591354,268
4000,60.20,602,398,1503933,0.1391,65.67,0.058376,0.278,0.0056,121.3,83506,67,0,0.75,2.92,29.5,0,592042,358
5000,61.20,612,388,1505610,0.1383,65.72,0.054924,0.235,0.0053,121.2,83705,97,0,0.75,2.95,30.5,0,592711,450
6000,58.70,587,413,1507341,0.1375,65.76,0.054848,0.449,0.0053,121.3,83924,30,0,0.79,2.86,31.5,0,593405,543
7000,60.10,601,399,1509008,0.1366,65.81,0.053917,0.249,0.0053,121.2,84123,65,0,0.82,2.76,30.9,0,594074,636
8000,60.90,609,391,1510619,0.1358,65.86,0.052847,0.311,0.0049,121.2,84338,86,0,0.74,2.91,30.4,0,594718,727
9000,60.40,604,396,1512311,0.1350,65.90,0.055062,0.497,0.0052,121.4,84562,79,0,0.75,2.96,30.7,0,595394,820
10000,60.90,609,391,1514026,0.1342,65.95,0.056253,0.335,0.0054,121.3,84787,86,0,0.76,2.85,30.4,0,596080,911
