Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,56.30,563,437,507439,0.0500,14.67,48.97,187,0,0.33,2.86,39.6,1,193711,91
2000,53.30,533,467,508533,0.0500,14.73,49.01,-141,0,0.33,2.87,38.9,0,194140,177
3000,54.40,544,456,509561,0.0500,14.80,49.04,0,0,0.33,2.88,46.6,4,194544,280
4000,54.60,546,454,510547,0.0500,14.87,49.08,-2,0,0.33,2.86,42.7,3,194931,374
5000,57.20,572,428,511550,0.0500,14.93,49.11,273,0,0.33,2.88,42.3,3,195325,471
6000,57.40,574,426,512658,0.0500,14.99,49.15,306,0,0.33,2.88,42.6,3,195760,566
7000,56.00,560,440,513676,0.0500,15.06,49.18,160,0,0.33,2.92,42.2,3,196160,669
8000,56.30,563,437,514643,0.0500,15.11,49.21,182,0,0.34,2.84,38.6,1,196540,768
9000,55.00,550,450,515769,0.0500,15.17,49.25,52,0,0.33,2.87,42.1,3,196982,902
10000,56.30,563,437,516881,0.0500,15.23,49.28,177,0,0.33,2.89,39.5,0,197419,987
