Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,28.10,281,719,20926,0.3970,2.04,17.84,-2956,0,0.42,2.64,36.3,2,7253,104
2000,32.60,326,674,36974,0.3940,2.29,21.00,-2445,0,0.32,2.58,35.8,1,12820,179
3000,31.00,310,690,50193,0.3910,2.49,23.45,-2615,0,0.32,2.63,33.9,0,17412,254
4000,29.80,298,702,62512,0.3880,2.70,25.15,-2746,1,0.32,2.55,36.9,2,21689,339
5000,33.10,331,669,74040,0.3850,2.87,26.54,-2379,0,0.32,2.55,37.1,1,25691,419
6000,33.70,337,663,84973,0.3820,3.02,27.62,-2301,0,0.32,2.64,37.9,1,29487,506
7000,32.90,329,671,94414,0.3790,3.16,28.67,-2400,0,0.32,2.59,35.2,0,32764,586
8000,33.80,338,662,103176,0.3760,3.31,29.59,-2274,0,0.32,2.61,36.4,2,35808,676
9000,35.20,352,648,111730,0.3730,3.44,30.37,-2130,0,0.32,2.62,36.7,1,38778,771
10000,34.60,346,654,120095,0.3700,3.56,30.94,-2201,0,0.33,2.62,36.6,0,41684,877
11000,48.00,480,520,127635,0.3670,3.66,31.15,-730,0,0.33,2.59,34.3,0,44640,81
12000,49.40,494,506,134584,0.3640,3.77,31.51,-580,0,0.33,2.65,34.7,0,47364,160
13000,47.60,476,524,140970,0.3610,3.89,31.86,-794,0,0.33,2.62,35.0,0,49867,240
14000,46.50,465,535,147285,0.3580,3.99,32.12,-907,0,0.33,2.61,34.6,0,52343,322
15000,49.40,494,506,153485,0.3550,4.11,32.47,-593,0,0.32,2.65,36.8,0,54774,408
16000,48.80,488,512,159205,0.3520,4.23,32.78,-646,0,0.32,2.70,36.6,1,57017,489
17000,44.50,445,555,164921,0.3490,4.34,33.12,-1101,0,0.32,2.65,38.2,3,59258,574
18000,46.30,463,537,170121,0.3460,4.46,33.45,-926,0,0.33,2.71,36.2,1,61297,673
19000,48.30,483,517,175369,0.3430,4.57,33.76,-706,0,0.32,2.61,37.7,2,63355,772
20000,49.70,497,503,180511,0.3400,4.67,34.12,-557,0,0.33,2.60,36.2,0,65371,851
21000,43.50,435,565,185857,0.3370,4.77,34.39,-1238,0,0.34,2.62,36.9,0,67468,86
22000,43.80,438,562,191216,0.3340,4.85,34.62,-1186,0,0.36,2.68,36.1,1,69571,175
23000,45.40,454,546,196454,0.3310,4.94,34.91,-1026,0,0.33,2.67,36.4,1,71626,256
24000,44.30,443,557,201424,0.3280,5.05,35.16,-1137,0,0.35,2.58,41.3,4,73576,359
25000,44.90,449,551,206096,0.3250,5.13,35.40,-1081,0,0.35,2.63,35.0,0,75409,449
26000,44.60,446,554,210632,0.3220,5.23,35.66,-1106,0,0.72,2.69,37.7,1,77188,578
27000,46.20,462,538,215132,0.3190,5.31,35.90,-933,0,0.51,2.73,36.3,1,78954,709
28000,46.60,466,534,219731,0.3160,5.40,36.13,-880,0,0.47,2.70,38.4,1,80758,837
