Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,50.70,507,493,15860,0.3990,2.40,20.99,-489,0,0.50,2.50,31.9,0,5530,73
2000,55.40,554,446,26579,0.3980,2.94,24.90,-337,0,0.40,2.51,33.7,0,9283,134
3000,54.50,545,455,35363,0.3970,3.34,27.12,-349,0,0.39,2.59,34.0,0,12365,193
4000,51.10,511,489,43094,0.3960,3.71,28.74,-443,1,0.40,2.56,35.5,1,15054,255
5000,52.50,525,475,50063,0.3950,3.97,30.00,-404,0,0.39,2.56,33.0,0,17476,312
6000,56.20,562,438,56036,0.3940,4.26,31.02,-286,0,0.43,2.70,33.7,1,19552,372
7000,55.90,559,441,61841,0.3930,4.52,32.00,-300,0,0.39,2.58,34.3,0,21573,433
8000,54.30,543,457,67287,0.3920,4.76,32.78,-352,0,0.40,2.62,34.7,1,23467,497
9000,53.20,532,468,72141,0.3910,4.98,33.56,-368,0,0.39,2.60,33.2,0,25155,557
10000,54.70,547,453,76886,0.3900,5.19,34.18,-327,0,0.39,2.63,33.7,0,26804,618
11000,54.90,549,451,81198,0.3890,5.41,34.89,-324,0,0.39,2.60,33.6,0,28516,61
12000,53.20,532,468,85615,0.3880,5.66,35.43,-370,1,0.38,2.65,35.0,1,30274,129
13000,53.50,535,465,89797,0.3870,5.84,35.92,-372,0,0.40,2.67,33.5,0,31945,192
14000,56.00,560,440,93671,0.3860,6.04,36.40,-287,0,0.38,2.65,35.0,0,33466,256
15000,57.90,579,421,97535,0.3850,6.22,36.74,-240,0,0.39,2.62,34.4,0,34984,318
16000,57.60,576,424,100917,0.3840,6.39,37.17,-240,0,0.39,2.81,32.5,0,36308,378
17000,58.90,589,411,104530,0.3830,6.57,37.48,-215,0,0.39,2.68,34.2,1,37726,440
18000,57.40,574,426,108088,0.3820,6.72,37.81,-260,0,0.39,2.66,33.6,0,39122,501
19000,60.70,607,393,111258,0.3810,6.90,38.16,-142,0,0.38,2.80,35.3,2,40365,565
20000,57.10,571,429,114534,0.3800,7.08,38.56,-169,0,0.39,2.65,35.9,0,41653,632
21000,57.20,572,428,117620,0.3790,7.23,38.84,-251,0,0.39,2.77,33.6,0,42867,61
22000,58.30,583,417,120504,0.3780,7.39,39.05,-227,0,0.39,2.73,34.7,0,44000,124
23000,59.10,591,409,123404,0.3770,7.55,39.38,-212,0,0.39,2.75,34.2,0,45137,186
24000,58.40,584,416,126254,0.3760,7.70,39.64,-221,0,0.41,2.75,33.8,0,46257,248
25000,56.70,567,433,129025,0.3750,7.85,39.86,-255,1,0.38,2.74,34.9,1,47345,311
26000,56.10,561,439,131757,0.3740,7.99,40.06,-274,0,0.39,2.76,34.0,0,48418,374
27000,58.30,583,417,134215,0.3730,8.14,40.30,-204,0,0.43,2.83,34.1,1,49384,437
28000,58.20,582,418,136703,0.3720,8.28,40.53,-217,0,0.39,2.79,33.4,0,50360,498
29000,59.10,591,409,139205,0.3710,8.43,40.74,-215,0,0.39,2.72,35.3,1,51342,562
30000,57.30,573,427,141566,0.3700,8.57,40.93,-248,0,0.40,2.77,33.1,0,52269,624
31000,59.70,597,403,143804,0.3690,8.72,41.19,-173,0,0.39,2.81,35.9,2,53148,65
32000,59.80,598,402,145998,0.3680,8.86,41.45,-175,0,0.41,2.79,33.2,0,54009,129
33000,57.80,578,422,148209,0.3670,9.00,41.66,-235,0,0.40,2.75,34.2,0,54875,191
34000,59.80,598,402,150467,0.3660,9.13,41.86,-168,0,0.41,2.82,33.8,0,55762,253
35000,61.80,618,382,152600,0.3650,9.26,42.10,-113,0,0.39,2.84,34.1,1,56601,316
36000,59.70,597,403,154722,0.3640,9.39,42.31,-177,0,0.40,2.75,33.9,0,57434,378
37000,59.50,595,405,156703,0.3630,9.52,42.47,-176,0,0.39,2.80,33.1,0,58213,439
38000,63.80,638,362,158708,0.3620,9.65,42.61,-62,0,0.43,2.83,33.5,0,59001,502
39000,64.20,642,358,160613,0.3609,9.78,42.78,-54,0,0.45,2.87,33.3,0,59751,564
40000,60.90,609,391,162513,0.3599,9.92,42.93,-144,0,0.39,2.82,35.3,1,60497,629
41000,61.50,615,385,164492,0.3589,10.05,43.08,-136,0,0.40,2.70,35.3,1,61273,64
42000,62.80,628,372,166256,0.3577,10.18,43.20,-93,0,0.42,2.88,34.3,0,61964,127
43000,62.00,620,380,167993,0.3566,10.31,43.36,-120,0,0.41,2.80,34.0,0,62645,189
44000,59.80,598,402,169911,0.3555,10.43,43.51,-164,0,0.40,2.85,33.7,0,63397,251
45000,63.80,638,362,171836,0.3545,10.55,43.63,-64,0,0.39,2.88,34.4,0,64155,315
46000,63.20,632,368,173570,0.3533,10.68,43.76,-89,0,0.42,2.81,35.6,1,64838,380
47000,61.30,613,387,175297,0.3521,10.81,43.92,-137,0,0.40,2.80,34.9,1,65518,445
48000,64.80,648,352,176856,0.3509,10.93,44.10,-31,0,0.44,2.91,33.7,0,66130,508
49000,60.30,603,397,178542,0.3497,11.05,44.24,-154,0,0.39,2.83,34.4,0,66796,572
50000,63.50,635,365,180144,0.3484,11.18,44.36,-63,0,0.39,2.89,35.9,1,67427,637
51000,65.10,651,349,181587,0.3470,11.31,44.48,-18,0,0.40,2.91,33.5,0,67991,65
52000,63.50,635,365,183134,0.3457,11.43,44.59,-68,0,0.40,2.89,33.8,0,68597,127
53000,63.60,636,364,184871,0.3446,11.54,44.71,-65,0,0.41,2.89,34.7,1,69279,190
54000,60.70,607,393,186370,0.3432,11.67,44.85,-165,0,0.39,2.79,34.9,0,69869,253
55000,64.30,643,357,187871,0.3419,11.79,44.96,-37,0,0.39,2.94,34.2,1,70458,317
56000,66.40,664,336,189349,0.3405,11.91,45.07,21,0,0.38,2.99,35.4,0,71038,380
57000,63.50,635,365,190817,0.3391,12.04,45.17,-69,0,0.38,2.84,36.0,1,71613,446
58000,64.90,649,351,192303,0.3378,12.15,45.28,-26,0,0.39,2.88,33.3,0,72197,507
59000,62.70,627,373,193723,0.3364,12.25,45.35,-81,0,0.40,2.95,32.1,0,72753,567
60000,65.00,650,350,195111,0.3349,12.37,45.45,-20,0,0.39,2.92,33.6,0,73300,630
61000,62.20,622,378,196663,0.3336,12.49,45.57,-97,0,0.38,2.87,34.7,0,73910,64
62000,61.60,616,384,198174,0.3323,12.60,45.62,-125,0,0.39,2.87,35.0,1,74504,127
63000,61.10,611,389,199665,0.3310,12.71,45.71,-139,0,0.39,2.86,34.9,0,75088,190
64000,60.40,604,396,201085,0.3295,12.82,45.81,-152,0,0.40,2.83,34.7,1,75645,254
65000,63.70,637,363,202428,0.3280,12.93,45.91,-57,0,0.39,2.91,34.0,0,76173,317
66000,62.60,626,374,203836,0.3266,13.04,46.00,-83,0,0.39,2.90,35.1,1,76727,384
67000,63.40,634,366,205232,0.3252,13.15,46.11,-82,0,0.39,2.83,34.0,0,77275,448
68000,60.70,607,393,206581,0.3237,13.25,46.19,-136,0,0.39,2.88,33.9,0,77806,511
69000,63.20,632,368,207965,0.3222,13.36,46.28,-71,0,0.38,2.91,35.5,0,78348,576
70000,63.00,630,370,209309,0.3207,13.47,46.36,-81,0,0.39,2.85,35.6,1,78877,640
71000,62.40,624,376,210699,0.3193,13.56,46.43,-103,0,0.40,2.87,32.8,0,79423,61
72000,64.10,641,359,212039,0.3178,13.67,46.53,-48,0,0.39,2.94,34.1,0,79950,123
73000,62.40,624,376,213417,0.3163,13.77,46.61,-91,0,0.39,2.95,34.8,0,80490,187
74000,64.80,648,352,214653,0.3147,13.86,46.66,-23,0,0.40,3.02,32.0,0,80975,246
75000,64.90,649,351,215945,0.3132,13.96,46.74,-16,0,0.42,2.91,34.1,0,81483,310
76000,64.70,647,353,217187,0.3115,14.06,46.83,-31,1,0.39,2.94,34.7,1,81972,374
77000,63.60,636,364,218389,0.3099,14.17,46.90,-63,0,0.44,2.94,33.9,0,82442,437
78000,66.00,660,340,219569,0.3082,14.27,46.98,14,0,0.44,2.96,34.3,0,82906,500
79000,62.70,627,373,220699,0.3064,14.38,47.06,-78,0,0.39,2.92,34.8,1,83351,564
80000,62.60,626,374,221950,0.3048,14.48,47.13,-97,0,0.39,2.86,34.5,0,83844,628
81000,61.50,615,385,223214,0.3032,14.57,47.19,-116,0,0.40,2.87,32.6,0,84340,60
82000,64.20,642,358,224303,0.3013,14.67,47.26,-31,0,0.39,2.96,33.0,0,84769,120
83000,63.40,634,366,225512,0.2997,14.78,47.34,-88,0,0.40,2.83,35.7,0,85244,184
84000,62.50,625,375,226518,0.2977,14.89,47.43,-87,0,0.41,2.89,35.0,0,85637,247
85000,62.50,625,375,227620,0.2959,14.99,47.49,-81,0,0.38,2.96,34.4,1,86069,310
86000,61.10,611,389,228697,0.2940,15.10,47.55,-115,0,0.39,2.91,34.2,0,86494,374
87000,64.10,641,359,229881,0.2923,15.20,47.63,-46,0,0.38,2.94,35.4,1,86960,438
88000,63.60,636,364,230863,0.2903,15.31,47.73,-63,0,0.38,2.91,35.3,1,87346,502
89000,59.90,599,401,232030,0.2886,15.42,47.79,-137,0,0.42,2.89,37.1,2,87803,570
90000,61.90,619,381,233110,0.2867,15.51,47.85,-100,0,0.39,2.93,33.6,0,88229,633
91000,61.90,619,381,234185,0.2848,15.62,47.91,-124,0,0.39,2.87,35.4,0,88651,65
92000,64.10,641,359,235227,0.2829,15.73,47.97,-35,0,0.38,2.97,34.7,0,89061,129
93000,62.00,620,380,236380,0.2812,15.82,48.00,-85,0,0.40,2.98,35.2,0,89515,192
94000,62.00,620,380,237404,0.2792,15.92,48.06,-102,0,0.38,2.90,35.1,0,89918,256
95000,62.50,625,375,238419,0.2772,16.03,48.11,-89,0,0.41,2.95,36.6,1,90315,322
96000,65.80,658,342,239393,0.2752,16.13,48.17,2,0,0.42,2.98,33.7,0,90694,385
97000,64.40,644,356,240422,0.2732,16.24,48.22,-37,0,0.37,2.97,34.3,1,91098,450
98000,64.10,641,359,241437,0.2713,16.34,48.30,-33,0,0.39,2.95,33.7,0,91499,512
