Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,10.80,108,892,16967,0.3990,2.45,24.98,-1711,0,0.15,2.56,34.3,0,5893,55
2000,19.90,199,801,29689,0.3980,2.88,28.66,-1418,0,0.16,2.44,36.6,0,10315,112
3000,22.10,221,779,39620,0.3970,3.26,30.94,-1320,0,0.17,2.53,36.1,0,13777,170
4000,28.20,282,718,48776,0.3960,3.57,32.33,-1127,0,0.17,2.43,37.4,1,16969,229
5000,27.20,272,728,56656,0.3950,3.89,33.62,-1136,0,0.15,2.53,39.5,3,19724,291
6000,28.10,281,719,63917,0.3940,4.15,34.47,-1111,0,0.16,2.46,37.0,0,22270,350
7000,31.90,319,681,70509,0.3930,4.38,35.31,-1017,0,0.16,2.48,36.6,0,24577,409
8000,36.10,361,639,76418,0.3920,4.60,36.09,-878,0,0.16,2.54,36.0,0,26631,468
9000,37.30,373,627,82107,0.3910,4.83,36.69,-822,0,0.16,2.61,37.7,1,28609,530
10000,38.70,387,613,87510,0.3900,5.05,37.37,-814,0,0.16,2.58,38.8,0,30490,593
11000,38.20,382,618,92771,0.3890,5.23,37.84,-809,0,0.17,2.68,36.1,0,32579,60
12000,39.20,392,608,98044,0.3880,5.40,38.20,-790,0,0.16,2.57,36.8,0,34668,120
13000,40.80,408,592,102655,0.3870,5.58,38.63,-727,0,0.16,2.61,36.4,0,36496,180
14000,39.80,398,602,107332,0.3860,5.74,38.99,-770,0,0.18,2.54,36.6,1,38345,240
15000,41.40,414,586,111801,0.3850,5.89,39.28,-710,0,0.16,2.61,34.7,0,40097,298
16000,41.60,416,584,115891,0.3840,6.05,39.71,-706,0,0.16,2.63,36.1,0,41705,358
17000,44.00,440,560,119740,0.3830,6.21,40.01,-640,0,0.17,2.66,35.6,0,43216,417
18000,44.80,448,552,123490,0.3820,6.37,40.26,-601,0,0.16,2.69,36.1,0,44689,477
19000,43.00,430,570,127291,0.3810,6.53,40.53,-651,0,0.16,2.64,36.5,0,46182,539
20000,45.90,459,541,131064,0.3800,6.66,40.75,-583,0,0.17,2.67,36.0,0,47664,599
21000,55.80,558,442,134191,0.3790,6.81,40.91,-260,0,0.18,2.75,34.3,0,48888,58
22000,58.60,586,414,137054,0.3780,6.96,41.08,-185,0,0.17,2.79,33.7,0,50011,115
23000,59.90,599,401,139795,0.3770,7.11,41.26,-153,0,0.18,2.81,34.4,1,51086,173
24000,56.10,561,439,142545,0.3760,7.24,41.41,-270,0,0.18,2.79,32.3,0,52166,228
25000,60.00,600,400,145204,0.3750,7.38,41.55,-171,0,0.18,2.75,33.1,0,53211,284
26000,57.50,575,425,147870,0.3740,7.51,41.70,-243,0,0.21,2.80,33.2,0,54257,340
27000,59.00,590,410,150438,0.3730,7.64,41.82,-190,0,0.18,2.74,32.8,0,55266,395
28000,58.60,586,414,152944,0.3720,7.77,41.98,-192,0,0.18,2.81,33.7,0,56250,454
29000,59.30,593,407,155289,0.3710,7.91,42.12,-167,0,0.18,2.88,32.9,0,57171,510
30000,61.40,614,386,157645,0.3700,8.04,42.28,-115,0,0.18,2.81,33.4,0,58093,567
31000,58.60,586,414,160089,0.3690,8.16,42.40,-201,0,0.17,2.76,34.2,0,59053,58
32000,60.00,600,400,162293,0.3680,8.30,42.61,-155,0,0.19,2.89,34.0,0,59920,115
33000,60.30,603,397,164530,0.3670,8.43,42.77,-159,0,0.19,2.79,35.2,0,60800,174
34000,61.00,610,390,166837,0.3660,8.56,42.92,-131,0,0.20,2.83,34.6,0,61706,236
35000,62.80,628,372,169003,0.3650,8.68,43.05,-72,0,0.20,2.90,34.0,0,62556,294
36000,62.80,628,372,171168,0.3640,8.82,43.15,-76,0,0.18,2.88,36.1,2,63407,354
37000,62.50,625,375,173282,0.3630,8.94,43.28,-83,0,0.18,2.91,33.8,0,64238,413
38000,57.50,575,425,175355,0.3620,9.06,43.41,-227,0,0.18,2.88,33.4,0,65053,470
39000,61.40,614,386,177334,0.3610,9.18,43.56,-106,0,0.18,2.90,34.2,0,65831,528
