Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,64.00,640,360,412194,0.0674,27.77,53.86,-35,0,0.25,3.05,34.6,0,158128,90
2000,65.80,658,342,412637,0.0660,27.83,53.87,7,0,0.30,3.03,34.3,0,158300,181
3000,63.70,637,363,413090,0.0646,27.90,53.90,-76,0,0.29,2.96,34.2,0,158477,272
4000,67.00,670,330,413520,0.0633,27.97,53.91,31,0,0.27,3.02,34.7,0,158647,365
5000,65.40,654,346,413962,0.0619,28.04,53.94,-13,0,0.34,3.01,36.3,1,158821,461
6000,65.40,654,346,414430,0.0605,28.10,53.96,-24,0,0.32,3.01,35.8,0,159006,567
7000,66.90,669,331,414880,0.0591,28.17,53.98,31,0,0.31,3.10,35.6,0,159183,660
8000,67.40,674,326,415337,0.0577,28.24,54.00,41,0,0.30,3.06,34.9,0,159363,751
9000,63.60,636,364,415770,0.0564,28.30,54.03,-73,0,0.32,2.93,35.0,0,159534,845
10000,67.80,678,322,416138,0.0550,28.38,54.05,58,0,0.31,3.04,35.7,0,159677,940
