Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,65.20,652,348,1637937,0.1024,66.35,0.047739,0.592,0.0137,117.7,91764,202,0,0.43,2.96,30.9,0,645894,81
2000,64.20,642,358,1639341,0.1014,66.40,0.045571,0.205,0.0042,117.7,91981,182,0,0.42,2.92,30.8,0,646454,164
3000,64.10,641,359,1640701,0.1004,66.44,0.045561,0.158,0.0041,117.6,92168,171,0,0.42,2.95,29.8,0,646999,246
4000,63.50,635,365,1642284,0.0996,66.48,0.051193,0.416,0.0043,117.6,92390,160,0,0.42,2.90,30.9,0,647633,330
5000,61.30,613,387,1643686,0.0986,66.52,0.046938,0.225,0.0042,117.5,92575,107,0,0.42,2.94,29.8,0,648194,413
6000,63.30,633,367,1645178,0.0976,66.57,0.047019,0.453,0.0042,117.5,92796,154,0,0.41,2.94,31.7,0,648790,499
7000,61.00,610,390,1646683,0.0967,66.61,0.049773,0.288,0.0043,117.3,92999,87,0,0.42,2.86,30.2,0,649394,581
8000,65.10,651,349,1648087,0.0957,66.65,0.047045,0.378,0.0042,117.3,93186,211,0,0.42,3.01,29.8,0,649957,663
9000,66.20,662,338,1649586,0.0948,66.69,0.050027,0.437,0.0040,117.3,93382,227,0,0.48,2.93,29.9,0,650553,747
10000,63.90,639,361,1651088,0.0939,66.73,0.047702,0.396,0.0040,117.2,93567,161,0,0.41,2.85,31.4,1,651154,832
