Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,57.50,115,85,0,0.0000,0.00,0.00,0,0,0.33,1.26,29.6,0,0,16
400,54.50,109,91,0,0.0000,0.00,0.00,0,0,0.38,1.00,32.1,0,0,32
600,54.00,108,92,0,0.0000,0.00,0.00,0,0,0.35,1.15,31.6,0,0,46
800,67.00,134,66,0,0.0000,0.00,0.00,0,0,0.39,1.61,28.4,0,0,59
1000,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.39,1.26,30.1,0,0,74
1200,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.36,1.32,28.6,0,0,88
1400,57.50,115,85,0,0.0000,0.00,0.00,0,0,0.36,1.16,30.8,0,0,102
1600,55.00,110,90,0,0.0000,0.00,0.00,0,0,0.36,1.10,29.8,0,0,116
1800,59.00,118,82,0,0.0000,0.00,0.00,0,0,0.36,1.25,28.1,0,0,129
2000,58.00,116,84,0,0.0000,0.00,0.00,0,0,0.36,1.19,29.0,0,0,143
2200,54.50,109,91,0,0.0000,0.00,0.00,0,0,0.36,0.95,31.4,0,0,158
2400,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.37,1.28,29.2,0,0,171
2600,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.36,1.29,27.4,0,0,184
2800,52.00,104,96,0,0.0000,0.00,0.00,0,0,0.36,1.01,29.0,0,0,198
3000,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.41,1.22,31.2,0,0,213
3200,49.50,99,101,0,0.0000,0.00,0.00,0,0,0.37,1.01,30.2,0,0,228
3400,58.00,116,84,0,0.0000,0.00,0.00,0,0,0.36,1.24,29.1,0,0,241
3600,54.50,109,91,0,0.0000,0.00,0.00,0,0,0.32,1.08,29.3,0,0,254
3800,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.26,1.26,30.6,0,0,265
4000,53.00,106,94,0,0.0000,0.00,0.00,0,0,0.26,1.00,27.3,0,0,276
4200,56.00,112,88,0,0.0000,0.00,0.00,0,0,0.31,0.99,30.1,0,0,289
4400,55.00,110,90,0,0.0000,0.00,0.00,0,0,0.36,1.11,28.2,0,0,302
4600,54.00,108,92,0,0.0000,0.00,0.00,0,0,0.34,1.01,30.4,0,0,317
4800,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.34,1.22,32.0,0,0,331
5000,51.00,102,98,0,0.0000,0.00,0.00,0,0,0.35,0.86,31.1,0,0,346
5200,53.50,107,93,0,0.0000,0.00,0.00,0,0,0.37,1.11,29.9,0,0,360
5400,51.00,102,98,0,0.0000,0.00,0.00,0,0,0.36,0.96,27.8,0,0,373
5600,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.34,1.32,28.0,0,0,386
5800,55.00,110,90,0,0.0000,0.00,0.00,0,0,0.26,1.12,31.5,0,0,398
6000,56.00,112,88,0,0.0000,0.00,0.00,0,0,0.33,1.11,29.4,0,0,411
6200,52.50,105,95,0,0.0000,0.00,0.00,0,0,0.37,1.12,30.9,0,0,427
6400,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.26,0.93,29.6,0,0,439
6600,52.00,104,96,0,0.0000,0.00,0.00,0,0,0.29,0.89,28.8,0,0,451
6800,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.36,1.14,29.0,0,0,466
7000,52.50,105,95,0,0.0000,0.00,0.00,0,0,0.39,0.98,30.3,0,0,481
7200,57.50,115,85,0,0.0000,0.00,0.00,0,0,0.35,1.17,31.6,0,0,496
7400,65.00,130,70,0,0.0000,0.00,0.00,0,0,0.39,1.54,28.7,0,0,510
7600,55.50,111,89,0,0.0000,0.00,0.00,0,0,0.30,1.10,30.1,0,0,523
7800,59.00,118,82,0,0.0000,0.00,0.00,0,0,0.38,1.28,29.9,0,0,539
8000,55.50,111,89,0,0.0000,0.00,0.00,0,0,0.40,1.22,28.7,0,0,554
8200,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.35,1.24,28.9,0,0,568
8400,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.42,1.07,27.1,0,0,582
8600,59.00,118,82,0,0.0000,0.00,0.00,0,0,0.34,1.33,27.4,0,0,595
8800,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.34,1.15,28.8,0,0,608
9000,53.00,106,94,0,0.0000,0.00,0.00,0,0,0.26,1.09,29.8,0,0,620
9200,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.25,1.11,30.1,0,0,632
9400,53.50,107,93,0,0.0000,0.00,0.00,0,0,0.26,1.04,29.7,0,0,644
9600,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.26,1.15,28.9,0,0,656
9800,53.50,107,93,0,0.0000,0.00,0.00,0,0,0.26,1.10,30.7,0,0,668
10000,53.50,107,93,0,0.0000,0.00,0.00,0,0,0.26,1.03,30.1,0,0,679
