Data,Batalha,Turno,Lado,Especie,Tipos,Terastalizado,TeraType,Atk,Spa,Spe,Habilidade,Item,HP,EVENTO,Detalhe
09:48:23,battle-gen9nationaldex-9248495,1,BOT,tapukoko,ELECTRIC/FAIRY,NAO,,115,95,130,electricsurge,electriumz,1.00,,
09:48:23,battle-gen9nationaldex-9248495,1,HUMANO,greninja,DARK/WATER,NAO,,95,103,122,,unknown_item,1.00,,
09:48:41,battle-gen9nationaldex-9248495,2,BOT,tapukoko,ELECTRIC/FAIRY,NAO,,115,95,130,electricsurge,,1.00,,
09:48:41,battle-gen9nationaldex-9248495,2,HUMANO,landorustherian,FLYING/GROUND,NAO,,145,105,91,intimidate,unknown_item,1.00,ESPECIE_MUDOU+TIPOS_MUDARAM+STATS_MUDARAM+HABILIDADE_MUDOU,greninja -> landorustherian | DARK/WATER -> FLYING/GROUND | atk/spa/spe 95/103/122 -> 145/105/91 |  -> intimidate
09:49:00,battle-gen9nationaldex-9248495,3,BOT,tapukoko,ELECTRIC/FAIRY,NAO,,115,95,130,electricsurge,,1.00,,
09:49:00,battle-gen9nationaldex-9248495,3,HUMANO,landorustherian,FLYING/GROUND,NAO,,145,105,91,intimidate,,1.00,,
09:49:08,battle-gen9nationaldex-9248495,3,BOT,tapukoko,ELECTRIC/FAIRY,NAO,,115,95,130,electricsurge,electriumz,0.00,,
09:49:08,battle-gen9nationaldex-9248495,3,HUMANO,landorustherian,FLYING/GROUND,NAO,,145,105,91,intimidate,,1.00,,
09:49:08,battle-gen9nationaldex-9248495,4,BOT,kartana,GRASS/STEEL,NAO,,181,59,109,beastboost,choicescarf,0.94,ESPECIE_MUDOU+TIPOS_MUDARAM+STATS_MUDARAM+HABILIDADE_MUDOU,tapukoko -> kartana | ELECTRIC/FAIRY -> GRASS/STEEL | atk/spa/spe 115/95/130 -> 181/59/109 | electricsurge -> beastboost
09:49:08,battle-gen9nationaldex-9248495,4,HUMANO,landorustherian,FLYING/GROUND,NAO,,145,105,91,intimidate,,1.00,,
09:49:21,battle-gen9nationaldex-9248495,5,BOT,kartana,GRASS/STEEL,NAO,,181,59,109,beastboost,choicescarf,0.94,,
09:49:21,battle-gen9nationaldex-9248495,5,HUMANO,landorustherian,FLYING/GROUND,NAO,,145,105,91,intimidate,,0.57,,
09:49:28,battle-gen9nationaldex-9248495,5,BOT,kartana,GRASS/STEEL,NAO,,181,59,109,beastboost,choicescarf,0.00,,
09:49:28,battle-gen9nationaldex-9248495,5,HUMANO,landorustherian,FLYING/GROUND,NAO,,145,105,91,intimidate,,0.07,,
09:49:28,battle-gen9nationaldex-9248495,6,BOT,mantine,FLYING/WATER,NAO,,40,80,70,waterabsorb,heavydutyboots,1.00,ESPECIE_MUDOU+TIPOS_MUDARAM+STATS_MUDARAM+HABILIDADE_MUDOU,kartana -> mantine | GRASS/STEEL -> FLYING/WATER | atk/spa/spe 181/59/109 -> 40/80/70 | beastboost -> waterabsorb
09:49:28,battle-gen9nationaldex-9248495,6,HUMANO,landorustherian,FLYING/GROUND,NAO,,145,105,91,intimidate,,0.07,,
09:49:39,battle-gen9nationaldex-9248495,6,BOT,mantine,FLYING/WATER,NAO,,40,80,70,waterabsorb,heavydutyboots,0.00,,
09:49:39,battle-gen9nationaldex-9248495,6,HUMANO,landorustherian,FLYING/GROUND,NAO,,145,105,91,intimidate,,0.07,,
09:49:39,battle-gen9nationaldex-9248495,7,BOT,heracross,BUG/FIGHTING,NAO,,125,40,85,moxie,heracronite,0.88,ESPECIE_MUDOU+TIPOS_MUDARAM+STATS_MUDARAM+HABILIDADE_MUDOU,mantine -> heracross | FLYING/WATER -> BUG/FIGHTING | atk/spa/spe 40/80/70 -> 125/40/85 | waterabsorb -> moxie
09:49:39,battle-gen9nationaldex-9248495,7,HUMANO,landorustherian,FLYING/GROUND,NAO,,145,105,91,intimidate,,0.07,,
09:49:58,battle-gen9nationaldex-9248495,8,BOT,heracrossmega,BUG/FIGHTING,NAO,,185,40,75,skilllink,heracronite,0.88,ESPECIE_MUDOU+STATS_MUDARAM+HABILIDADE_MUDOU,heracross -> heracrossmega | atk/spa/spe 125/40/85 -> 185/40/75 | moxie -> skilllink
09:49:58,battle-gen9nationaldex-9248495,8,HUMANO,corviknight,FLYING/STEEL,NAO,,87,53,67,pressure,unknown_item,1.00,ESPECIE_MUDOU+TIPOS_MUDARAM+STATS_MUDARAM+HABILIDADE_MUDOU,landorustherian -> corviknight | FLYING/GROUND -> FLYING/STEEL | atk/spa/spe 145/105/91 -> 87/53/67 | intimidate -> pressure
09:50:02,battle-gen9nationaldex-9248495,8,BOT,heracross,BUG/FIGHTING,NAO,,125,40,85,moxie,heracronite,0.00,ESPECIE_MUDOU+STATS_MUDARAM+HABILIDADE_MUDOU,heracrossmega -> heracross | atk/spa/spe 185/40/75 -> 125/40/85 | skilllink -> moxie
09:50:02,battle-gen9nationaldex-9248495,8,HUMANO,corviknight,FLYING/STEEL,NAO,,87,53,67,pressure,unknown_item,0.00,,
09:50:14,battle-gen9nationaldex-9248495,9,BOT,jirachi,PSYCHIC/STEEL,NAO,,100,100,100,serenegrace,leftovers,0.94,ESPECIE_MUDOU+TIPOS_MUDARAM+STATS_MUDARAM+HABILIDADE_MUDOU,heracross -> jirachi | BUG/FIGHTING -> PSYCHIC/STEEL | atk/spa/spe 125/40/85 -> 100/100/100 | moxie -> serenegrace
09:50:14,battle-gen9nationaldex-9248495,9,HUMANO,magnezone,ELECTRIC/STEEL,NAO,,70,130,60,,unknown_item,1.00,ESPECIE_MUDOU+TIPOS_MUDARAM+STATS_MUDARAM+HABILIDADE_MUDOU,corviknight -> magnezone | FLYING/STEEL -> ELECTRIC/STEEL | atk/spa/spe 87/53/67 -> 70/130/60 | pressure -> 
