Batalha,Turnos,Resultado,Meu_Time,Time_Adversario,Meus_Papeis,Papeis_Adversario
battle-gen9nationaldex-10651454,125,DERROTA,komala/magnezone/serperior/aggron/hydreigon/gliscor,infernape/steelix/drifblim/ninetales/rotomheat/houndoom,UTIL/TANK/TANK/TANK/TANK/TANK,UTIL/TANK/TANK/TANK/TANK/SWEE
battle-gen9nationaldex-10651462,92,DERROTA,quagsire/amoonguss/mandibuzz/heatran/ferrothorn/umbreon,corviknight/kartana/florges/charizard/blacephalon/kommoo,TANK/TANK/TANK/TANK/TANK/TANK,TANK/SWEE/TANK/TANK/SWEE/TANK
battle-gen9nationaldex-10651469,91,VITORIA,charizard/corviknight/tapubulu/duraludon/heatran/indeedeef,landorustherian/tyranitar/slowkinggalar/skarmory/kartana/tapubulu,TANK/TANK/TANK/UTIL/TANK/TANK,SWEE/TANK/TANK/TANK/SWEE/TANK
battle-gen9nationaldex-10651510,1000,EMPATE,charizard/corviknight/tapubulu/duraludon/heatran/indeedeef,urshifurapidstrike/dracozolt/tapukoko/delcatty/banette/ditto,TANK/TANK/TANK/UTIL/TANK/TANK,UTIL/TANK/SWEE/TANK/SWEE/TANK
battle-gen9nationaldex-10651539,1000,EMPATE,tyranitar/kartana/landorustherian/skarmory/slowkinggalar/tapubulu,landorustherian/cursola/mawile/magnezone/porygon2/slowbro,TANK/SWEE/SWEE/TANK/TANK/TANK,SWEE/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651542,105,DERROTA,latias/gengar/scizor/cloyster/krookodile/mawile,mandibuzz/steelix/clefable/buzzwole/tyranitar/toxapex,TANK/SWEE/UTIL/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651577,111,DERROTA,infernape/houndoom/steelix/drifblim/ninetales/rotomheat,infernape/rotomheat/houndoom/ninetales/drifblim/steelix,UTIL/SWEE/TANK/TANK/TANK/TANK,UTIL/TANK/SWEE/TANK/TANK/TANK
battle-gen9nationaldex-10651582,91,DERROTA,komala/magnezone/serperior/aggron/hydreigon/gliscor,infernape/steelix/drifblim/ninetales/rotomheat/houndoom,UTIL/TANK/TANK/TANK/TANK/TANK,UTIL/TANK/TANK/TANK/TANK/SWEE
battle-gen9nationaldex-10651591,1000,EMPATE,abomasnow/rillaboom/magnezone/moltres/krookodile/necrozma,landorustherian/ninetalesalola/heatran/mamoswine/arctozolt,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651615,105,VITORIA,politoed/barraskewda/zapdos/ferrothorn/toxapex/kingdra,gliscor/kartana/hydreigon/heatran/charizard/corviknight,TANK/SWEE/TANK/TANK/TANK/TANK,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651677,116,VITORIA,sableye/rillaboom/slowbro/heatran/gliscor/kommoo,rotomwash/scizormega/amoonguss/pelipper/omastar/seismitoad,TANK/TANK/TANK/TANK/TANK/TANK,TANK/UTIL/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651711,111,DERROTA,pelipper/swampert/zapdos/manaphy/greninja/ferrothorn,blissey/corviknight/zapdos/dondozo/garganacl/toxapex,TANK/TANK/TANK/TANK/SWEE/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651733,126,VITORIA,pelipper/omastar/rotomwash/seismitoad/amoonguss/scizor,rotomwash/seismitoad/amoonguss/pelipper/omastar/scizor,TANK/TANK/TANK/TANK/TANK/UTIL,TANK/TANK/TANK/TANK/TANK/UTIL
battle-gen9nationaldex-10651739,117,VITORIA,zapdosgalar/blissey/gliscor/skarmory/pecharunt/absol,tapukoko/heatran/gliscor/xurkitree/gallade/serperior,TANK/TANK/TANK/TANK/TANK/SWEE,SWEE/TANK/TANK/SWEE/UTIL/TANK
battle-gen9nationaldex-10651745,92,VITORIA,piloswine/mamoswine/abomasnow/weavile/articuno/quagsire,landorustherian/tyranitar/skarmory/kartana/slowkinggalar/tapubulu,TANK/TANK/TANK/SWEE/TANK/TANK,SWEE/TANK/TANK/SWEE/TANK/TANK
battle-gen9nationaldex-10651754,94,DERROTA,ledian/kyurem/skorupi/regirock/oinkologne/altaria,deoxysdefense/azumarill/meganium/venusaur/excadrill/heatran,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/UTIL/TANK
battle-gen9nationaldex-10651759,1000,EMPATE,abomasnowmega/reuniclus/slowbro/porygon2/stakataka/gliscor,mandibuzz/toxapex/clefable/tyranitar/buzzwole/steelix,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651814,107,VITORIA,quagsire/amoonguss/mandibuzz/heatran/ferrothorn/umbreon,tapukoko/magneton/altaria/zarude/gliscor/kartana,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/SWEE/TANK/TANK/TANK/SWEE
battle-gen9nationaldex-10651823,83,VITORIA,komala/magnezone/serperior/aggron/hydreigon/gliscor,stakataka/gliscor/porygon2/reuniclus/abomasnow/slowbro,UTIL/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651848,121,VITORIA,magneton/tapukoko/altaria/kartana/gliscor/zarude,magnezone/landorustherian/clefable/toxapex/reuniclus/tyranitar,SWEE/SWEE/TANK/SWEE/TANK/TANK,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10651851,1000,EMPATE,charizard/corviknight/heatran/kartana/gliscor/hydreigon,articuno/weavile/quagsire/piloswine/mamoswine,TANK/TANK/TANK/SWEE/TANK/TANK,TANK/SWEE/TANK/TANK/TANK
