Batalha,Turno,Meu,Meu_Papel,Meu_HP,Adversario,Papel_Adv,HP_Adv,Matchup,Decisao,HP_Equipa_Meu,HP_Equipa_Adv
battle-gen9nationaldex-10651454,118,gliscor,TANK,0.67,houndoom,SWEEPER,1.00,OFFENSIVE_ADV,roost,0.67,2.50
battle-gen9nationaldex-10651454,119,gliscor,TANK,0.92,houndoom,SWEEPER,1.00,OFFENSIVE_ADV,roost,0.92,2.50
battle-gen9nationaldex-10651454,120,gliscor,TANK,1.00,houndoom,SWEEPER,1.00,OFFENSIVE_ADV,defog,1.00,2.50
battle-gen9nationaldex-10651454,121,gliscor,TANK,0.76,houndoom,SWEEPER,1.00,OFFENSIVE_ADV,roost,0.76,2.50
battle-gen9nationaldex-10651454,122,gliscor,TANK,0.99,houndoom,SWEEPER,1.00,OFFENSIVE_ADV,defog,0.99,2.50
battle-gen9nationaldex-10651454,123,gliscor,TANK,0.70,houndoom,SWEEPER,1.00,OFFENSIVE_ADV,defog,0.70,2.50
battle-gen9nationaldex-10651454,124,gliscor,TANK,0.42,houndoom,SWEEPER,1.00,OFFENSIVE_ADV,defog,0.42,2.50
battle-gen9nationaldex-10651454,125,gliscor,TANK,0.18,houndoom,SWEEPER,1.00,OFFENSIVE_ADV,defog,0.18,2.50
battle-gen9nationaldex-10651462,86,heatran,TANK,1.00,corviknight,TANK,1.00,DOMINANT,SWITCH->quagsire,1.42,2.00
battle-gen9nationaldex-10651462,87,quagsire,TANK,0.37,kommoo,TANK,1.00,NEUTRAL,SWITCH->heatran,1.37,2.00
battle-gen9nationaldex-10651462,88,heatran,TANK,0.94,kommoo,TANK,1.00,DEFENSIVE_DIS,toxic,1.31,2.00
battle-gen9nationaldex-10651462,89,heatran,TANK,1.00,corviknight,TANK,1.00,DOMINANT,SWITCH->quagsire,1.37,2.00
battle-gen9nationaldex-10651462,90,quagsire,TANK,0.32,kommoo,TANK,1.00,NEUTRAL,SWITCH->heatran,1.32,2.00
battle-gen9nationaldex-10651462,91,heatran,TANK,0.09,kommoo,TANK,1.00,DEFENSIVE_DIS,earthpower,0.42,2.00
battle-gen9nationaldex-10651462,91,heatran,TANK,0.00,kommoo,TANK,1.00,DEFENSIVE_DIS,SWITCH->quagsire,0.32,2.00
battle-gen9nationaldex-10651462,92,quagsire,TANK,0.32,kommoo,TANK,1.00,NEUTRAL,recover,0.32,2.00
battle-gen9nationaldex-10651469,85,heatran,TANK,1.00,tapubulu,TANK,1.00,DOMINANT,SWITCH->corviknight,1.88,2.00
battle-gen9nationaldex-10651469,86,corviknight,TANK,0.88,slowkinggalar,TANK,1.00,DEFENSIVE_DIS,bravebird,1.88,2.00
battle-gen9nationaldex-10651469,87,corviknight,TANK,0.70,tapubulu,TANK,0.49,DOMINANT,bravebird,1.71,1.49
battle-gen9nationaldex-10651469,88,corviknight,TANK,0.56,slowkinggalar,TANK,1.00,DEFENSIVE_DIS,bravebird,1.56,1.00
battle-gen9nationaldex-10651469,89,corviknight,TANK,0.17,slowkinggalar,TANK,0.62,DEFENSIVE_DIS,bravebird,1.18,0.62
battle-gen9nationaldex-10651469,89,corviknight,TANK,0.00,slowkinggalar,TANK,0.28,DEFENSIVE_DIS,SWITCH->heatran,1.00,0.28
battle-gen9nationaldex-10651469,90,heatran,TANK,1.00,slowkinggalar,TANK,0.28,VOLATILE,earthpower,1.00,0.28
battle-gen9nationaldex-10651469,91,heatran,TANK,0.67,slowkinggalar,TANK,0.06,VOLATILE,earthpower,0.67,0.06
battle-gen9nationaldex-10651510,993,charizard,TANK,1.00,ditto,TANK,1.00,DEFENSIVE_ADV,SWITCH->heatran,2.00,2.65
battle-gen9nationaldex-10651510,994,heatran,TANK,1.00,dracozolt,TANK,0.65,OFFENSIVE_ADV,SWITCH->charizard,2.00,2.65
battle-gen9nationaldex-10651510,995,charizard,TANK,1.00,ditto,TANK,1.00,DEFENSIVE_ADV,SWITCH->heatran,2.00,2.65
battle-gen9nationaldex-10651510,996,heatran,TANK,1.00,dracozolt,TANK,0.65,OFFENSIVE_ADV,SWITCH->charizard,2.00,2.65
battle-gen9nationaldex-10651510,997,charizard,TANK,1.00,ditto,TANK,1.00,DEFENSIVE_ADV,SWITCH->heatran,2.00,2.65
battle-gen9nationaldex-10651510,998,heatran,TANK,1.00,dracozolt,TANK,0.65,OFFENSIVE_ADV,SWITCH->charizard,2.00,2.65
battle-gen9nationaldex-10651510,999,charizard,TANK,1.00,ditto,TANK,1.00,DEFENSIVE_ADV,SWITCH->heatran,2.00,2.65
battle-gen9nationaldex-10651510,1000,heatran,TANK,1.00,dracozolt,TANK,0.65,OFFENSIVE_ADV,SWITCH->charizard,2.00,2.65
battle-gen9nationaldex-10651539,993,slowkinggalar,TANK,0.94,slowbro,TANK,1.00,NEUTRAL,SWITCH->tapubulu,1.88,2.00
battle-gen9nationaldex-10651539,994,tapubulu,TANK,0.94,porygon2,TANK,1.00,OFFENSIVE_ADV,SWITCH->slowkinggalar,1.94,2.00
battle-gen9nationaldex-10651539,995,slowkinggalar,TANK,0.94,slowbro,TANK,1.00,NEUTRAL,SWITCH->tapubulu,1.88,2.00
battle-gen9nationaldex-10651539,996,tapubulu,TANK,0.94,porygon2,TANK,1.00,OFFENSIVE_ADV,SWITCH->slowkinggalar,1.94,2.00
battle-gen9nationaldex-10651539,997,slowkinggalar,TANK,0.94,slowbro,TANK,1.00,NEUTRAL,SWITCH->tapubulu,1.88,2.00
battle-gen9nationaldex-10651539,998,tapubulu,TANK,0.94,porygon2,TANK,1.00,OFFENSIVE_ADV,SWITCH->slowkinggalar,1.94,2.00
battle-gen9nationaldex-10651539,999,slowkinggalar,TANK,0.94,slowbro,TANK,1.00,NEUTRAL,SWITCH->tapubulu,1.88,2.00
battle-gen9nationaldex-10651539,1000,tapubulu,TANK,0.94,porygon2,TANK,1.00,OFFENSIVE_ADV,SWITCH->slowkinggalar,1.94,2.00
battle-gen9nationaldex-10651542,98,latias,TANK,0.94,toxapex,TANK,1.00,OFFENSIVE_ADV,defog,0.94,1.00
battle-gen9nationaldex-10651542,99,latias,TANK,0.94,toxapex,TANK,1.00,OFFENSIVE_ADV,defog,0.94,1.00
battle-gen9nationaldex-10651542,100,latias,TANK,0.94,toxapex,TANK,1.00,OFFENSIVE_ADV,defog,0.94,1.00
