Batalha,Turnos,Resultado,Meu_Time,Time_Adversario,Meus_Papeis,Papeis_Adversario
battle-gen9nationaldex-10901678,84,DERROTA,tyranitar/kartana/landorustherian/skarmory/slowkinggalar/tapubulu,corviknight/tapubulu/duraludon/heatran/charizard/indeedeef,TANK/SWEE/SWEE/TANK/TANK/TANK,TANK/TANK/UTIL/TANK/TANK/TANK
battle-gen9nationaldex-10901706,101,VITORIA,tyranitar/latias/clefable/excadrill/skarmory/toxapex,tapukoko/gallade/heatran/xurkitree/gliscor/serperior,TANK/TANK/TANK/UTIL/TANK/TANK,SWEE/UTIL/TANK/SWEE/TANK/TANK
battle-gen9nationaldex-10901714,99,DERROTA,drampa/stakataka/slowking/mawile/donphan/cresselia,zapdosgalar/absol/skarmory/blissey/pecharunt/gliscor,TANK/TANK/TANK/TANK/TANK/TANK,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10901737,94,VITORIA,abomasnow/reuniclus/slowbro/porygon2/stakataka/gliscor,zapdosgalar/absol/gliscor/skarmory/blissey/pecharunt,TANK/TANK/TANK/TANK/TANK/TANK,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10901762,110,VITORIA,venusaurmega/dondozo/garganacl/gastrodon/mandibuzz/chansey,pelipper/omastar/rotomwash/scizor/amoonguss/seismitoad,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/UTIL/TANK/TANK
battle-gen9nationaldex-10901785,92,DERROTA,quagsire/amoonguss/mandibuzz/heatran/ferrothorn/umbreon,corviknight/weavile/magnezone/aron/slowbro/hippowdon,TANK/TANK/TANK/TANK/TANK/TANK,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10901786,102,VITORIA,infernape/houndoom/steelix/drifblim/ninetales/rotomheat,ninetales/infernape/drifblim/houndoom/rotomheat/steelix,UTIL/SWEE/TANK/TANK/TANK/TANK,TANK/UTIL/TANK/SWEE/TANK/TANK
battle-gen9nationaldex-10901941,103,DERROTA,komala/magnezone/serperior/aggron/hydreigon/gliscor,zapdosgalar/skarmory/gliscor/absol/blissey/pecharunt,UTIL/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/SWEE/TANK/TANK
battle-gen9nationaldex-10901971,88,VITORIA,magneton/tapukoko/altaria/kartana/gliscor/zarude,pelipper/seismitoad/omastar/amoonguss/scizor/rotomwash,SWEE/SWEE/TANK/SWEE/TANK/TANK,TANK/TANK/TANK/TANK/UTIL/TANK
battle-gen9nationaldex-10902023,93,DERROTA,quagsire/amoonguss/mandibuzz/heatran/ferrothorn/umbreon,tapukoko/magneton/altariamega/zarude/kartana/gliscor,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/SWEE/TANK/TANK/SWEE/TANK
battle-gen9nationaldex-10902095,139,DERROTA,komala/magnezone/serperior/aggron/hydreigon/gliscor,rillaboom/kommoo/heatran/gliscor/slowbro/sableyemega,UTIL/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10902171,128,DERROTA,tyranitar/reuniclus/magnezone/clefable/toxapex/landorustherian,ninetalesalola/arctozolt/mamoswine/heatran/landorustherian/slowkinggalar,TANK/TANK/TANK/TANK/TANK/SWEE,TANK/TANK/TANK/TANK/SWEE/TANK
battle-gen9nationaldex-10902237,98,DERROTA,dondozo/garganacl/corviknight/blissey/toxapex/zapdos,tyranitar/excadrill/skarmory/latiasmega/toxapex/clefable,TANK/TANK/TANK/TANK/TANK/TANK,TANK/UTIL/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10902307,86,VITORIA,zapdosgalar/blissey/gliscor/skarmory/pecharunt/absol,landorustherian/skarmory/slowkinggalar/kartana/tyranitarmega/tapubulu,TANK/TANK/TANK/TANK/TANK/SWEE,SWEE/TANK/TANK/SWEE/TANK/TANK
battle-gen9nationaldex-10902311,80,DERROTA,tyranitar/reuniclus/magnezone/clefable/toxapex/landorustherian,mandibuzz/gastrodon/venusaur/dondozo/chansey/garganacl,TANK/TANK/TANK/TANK/TANK/SWEE,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10902316,81,VITORIA,miltank/clefable/lopunny/blissey/dodrio/donphan,hydreigon/aggron/magnezone/serperior/komala/gliscor,TANK/TANK/TANK/TANK/SWEE/TANK,TANK/TANK/TANK/TANK/UTIL/TANK
battle-gen9nationaldex-10902394,89,DERROTA,aron/hippowdon/slowbro/corviknight/weavile/magnezone,greninja/krookodile/slowbro/charizard/corviknight/sirfetchd,TANK/TANK/TANK/TANK/SWEE/TANK,SWEE/TANK/TANK/TANK/TANK/SWEE
battle-gen9nationaldex-10902404,126,VITORIA,steelix/tyranitar/toxapex/clefable/buzzwole/mandibuzz,rillaboom/heatran/gliscor/sableye/kommoo/slowbro,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10902406,107,VITORIA,zapdosgalar/blissey/gliscor/skarmory/pecharunt/absol,rillaboom/sableye/slowbro/heatran/kommoo/gliscor,TANK/TANK/TANK/TANK/TANK/SWEE,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10902417,92,VITORIA,tyranitar/reuniclus/magnezone/clefable/toxapex/landorustherian,ninetales/infernape/steelix/houndoom/rotomheat/drifblim,TANK/TANK/TANK/TANK/TANK/SWEE,TANK/UTIL/TANK/SWEE/TANK/TANK
battle-gen9nationaldex-10902441,106,VITORIA,charizard/corviknight/tapubulu/duraludon/heatran/indeedeef,umbreon/amoonguss/mandibuzz/heatran/quagsire/ferrothorn,TANK/TANK/TANK/UTIL/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10902525,151,VITORIA,ninetalesalola/arctozolt/mamoswine/heatran/slowkinggalar/landorustherian,tyranitar/landorustherian/magnezone/clefable/toxapex/reuniclus,TANK/TANK/TANK/TANK/TANK/SWEE,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10902578,1000,EMPATE,quagsire/amoonguss/mandibuzz/heatran/ferrothorn/umbreon,umbreon/mandibuzz/ferrothorn/amoonguss/heatran/quagsire,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10902584,88,DERROTA,audino/melmetal/landorustherian/urshifurapidstrike/kartana/latios,tapukoko/altariamega/magneton/kartana/gliscor/zarude,TANK/TANK/SWEE/UTIL/SWEE/UTIL,SWEE/TANK/SWEE/SWEE/TANK/TANK
