Batalha,Turno,Meu,Meu_Papel,Meu_HP,Adversario,Papel_Adv,HP_Adv,Matchup,Decisao,HP_Equipa_Meu,HP_Equipa_Adv
battle-gen9nationaldex-10901678,77,slowkinggalar,TANK,0.65,heatran,TANK,0.78,VOLATILE,futuresight,0.65,0.98
battle-gen9nationaldex-10901678,78,slowkinggalar,TANK,0.65,corviknight,TANK,0.20,OFFENSIVE_ADV,futuresight,0.65,0.98
battle-gen9nationaldex-10901678,79,slowkinggalar,TANK,0.51,heatran,TANK,0.69,VOLATILE,futuresight,0.51,0.89
battle-gen9nationaldex-10901678,80,slowkinggalar,TANK,0.51,corviknight,TANK,0.20,OFFENSIVE_ADV,futuresight,0.51,0.89
battle-gen9nationaldex-10901678,81,slowkinggalar,TANK,0.36,heatran,TANK,0.75,VOLATILE,futuresight,0.36,0.95
battle-gen9nationaldex-10901678,82,slowkinggalar,TANK,0.36,heatran,TANK,0.75,VOLATILE,futuresight,0.36,0.75
battle-gen9nationaldex-10901678,83,slowkinggalar,TANK,0.36,heatran,TANK,0.81,VOLATILE,futuresight,0.36,0.81
battle-gen9nationaldex-10901678,84,slowkinggalar,TANK,0.05,heatran,TANK,0.87,VOLATILE,futuresight,0.05,0.87
battle-gen9nationaldex-10901706,94,skarmory,TANK,0.97,gliscor,TANK,1.00,STALEMATE,irondefense,0.97,1.00
battle-gen9nationaldex-10901706,95,skarmory,TANK,0.97,gliscor,TANK,1.00,STALEMATE,irondefense,0.97,1.00
battle-gen9nationaldex-10901706,96,skarmory,TANK,0.97,gliscor,TANK,1.00,STALEMATE,irondefense,0.97,1.00
battle-gen9nationaldex-10901706,97,skarmory,TANK,0.97,gliscor,TANK,1.00,STALEMATE,irondefense,0.97,1.00
battle-gen9nationaldex-10901706,98,skarmory,TANK,0.97,gliscor,TANK,1.00,STALEMATE,irondefense,0.97,1.00
battle-gen9nationaldex-10901706,99,skarmory,TANK,0.97,gliscor,TANK,1.00,STALEMATE,irondefense,0.97,1.00
battle-gen9nationaldex-10901706,100,skarmory,TANK,0.95,gliscor,TANK,0.72,STALEMATE,irondefense,0.95,0.72
battle-gen9nationaldex-10901706,101,skarmory,TANK,0.85,gliscor,TANK,0.43,STALEMATE,struggle,0.85,0.43
battle-gen9nationaldex-10901714,92,cresselia,TANK,1.00,gliscor,TANK,1.00,VOLATILE,struggle,1.00,1.40
battle-gen9nationaldex-10901714,93,cresselia,TANK,1.00,pecharunt,TANK,0.40,DEFENSIVE_DIS,struggle,1.00,1.40
battle-gen9nationaldex-10901714,94,cresselia,TANK,0.75,gliscor,TANK,1.00,VOLATILE,struggle,0.75,1.40
battle-gen9nationaldex-10901714,95,cresselia,TANK,0.75,pecharunt,TANK,0.40,DEFENSIVE_DIS,struggle,0.75,1.40
battle-gen9nationaldex-10901714,96,cresselia,TANK,0.75,gliscor,TANK,1.00,VOLATILE,struggle,0.75,1.40
battle-gen9nationaldex-10901714,97,cresselia,TANK,0.75,pecharunt,TANK,0.40,DEFENSIVE_DIS,struggle,0.75,1.40
battle-gen9nationaldex-10901714,98,cresselia,TANK,0.50,gliscor,TANK,1.00,VOLATILE,struggle,0.50,1.40
battle-gen9nationaldex-10901714,99,cresselia,TANK,0.25,pecharunt,TANK,0.39,DEFENSIVE_DIS,struggle,0.25,1.39
battle-gen9nationaldex-10901737,88,porygon2,TANK,0.54,pecharunt,TANK,0.30,NEUTRAL,SWITCH->gliscor,3.01,0.79
battle-gen9nationaldex-10901737,89,gliscor,TANK,1.00,gliscor,TANK,0.49,OFFENSIVE_DIS,SWITCH->porygon2,3.01,0.79
battle-gen9nationaldex-10901737,90,porygon2,TANK,0.48,pecharunt,TANK,0.18,NEUTRAL,SWITCH->gliscor,2.95,0.67
battle-gen9nationaldex-10901737,91,gliscor,TANK,1.00,gliscor,TANK,0.49,OFFENSIVE_DIS,SWITCH->porygon2,2.95,0.67
battle-gen9nationaldex-10901737,92,porygon2,TANK,0.42,pecharunt,TANK,0.05,NEUTRAL,teleport,2.89,0.54
battle-gen9nationaldex-10901737,92,porygon2,TANK,0.42,gliscor,TANK,0.36,OFFENSIVE_ADV,SWITCH->gliscor,2.89,0.41
battle-gen9nationaldex-10901737,93,gliscor,TANK,1.00,gliscor,TANK,0.49,OFFENSIVE_DIS,SWITCH->porygon2,2.89,0.54
battle-gen9nationaldex-10901737,94,porygon2,TANK,0.36,gliscor,TANK,0.36,OFFENSIVE_ADV,icebeam,2.83,0.36
battle-gen9nationaldex-10901762,103,venusaurmega,TANK,0.82,amoonguss,TANK,0.77,NEUTRAL,synthesis,0.82,0.77
battle-gen9nationaldex-10901762,104,venusaurmega,TANK,0.88,amoonguss,TANK,0.84,NEUTRAL,sludgebomb,0.88,0.84
battle-gen9nationaldex-10901762,105,venusaurmega,TANK,0.76,amoonguss,TANK,0.56,NEUTRAL,synthesis,0.76,0.56
battle-gen9nationaldex-10901762,106,venusaurmega,TANK,0.88,amoonguss,TANK,0.63,NEUTRAL,sludgebomb,0.88,0.63
battle-gen9nationaldex-10901762,107,venusaurmega,TANK,0.76,amoonguss,TANK,0.35,NEUTRAL,synthesis,0.76,0.35
battle-gen9nationaldex-10901762,108,venusaurmega,TANK,0.83,amoonguss,TANK,0.41,NEUTRAL,synthesis,0.83,0.41
battle-gen9nationaldex-10901762,109,venusaurmega,TANK,0.88,amoonguss,TANK,0.47,NEUTRAL,sludgebomb,0.88,0.47
battle-gen9nationaldex-10901762,110,venusaurmega,TANK,0.76,amoonguss,TANK,0.24,NEUTRAL,sludgebomb,0.76,0.24
battle-gen9nationaldex-10901785,85,quagsire,TANK,1.00,corviknight,TANK,0.87,OFFENSIVE_DIS,recover,1.00,0.87
battle-gen9nationaldex-10901785,86,quagsire,TANK,1.00,corviknight,TANK,0.85,OFFENSIVE_DIS,recover,1.00,0.85
battle-gen9nationaldex-10901785,87,quagsire,TANK,1.00,corviknight,TANK,0.84,OFFENSIVE_DIS,recover,1.00,0.84
battle-gen9nationaldex-10901785,88,quagsire,TANK,1.00,corviknight,TANK,1.00,OFFENSIVE_DIS,toxic,1.00,1.00
battle-gen9nationaldex-10901785,89,quagsire,TANK,0.79,corviknight,TANK,0.98,OFFENSIVE_DIS,toxic,0.79,0.98
battle-gen9nationaldex-10901785,90,quagsire,TANK,0.58,corviknight,TANK,0.95,OFFENSIVE_DIS,toxic,0.58,0.95
battle-gen9nationaldex-10901785,91,quagsire,TANK,0.40,corviknight,TANK,0.94,OFFENSIVE_DIS,toxic,0.40,0.94
battle-gen9nationaldex-10901785,92,quagsire,TANK,0.21,corviknight,TANK,0.91,OFFENSIVE_DIS,toxic,0.21,0.91
battle-gen9nationaldex-10901786,95,steelix,TANK,1.00,steelix,TANK,1.00,CRITICAL_DIS,heavyslam,1.00,1.00
battle-gen9nationaldex-10901786,96,steelix,TANK,1.00,steelix,TANK,1.00,CRITICAL_DIS,heavyslam,1.00,1.00
battle-gen9nationaldex-10901786,97,steelix,TANK,1.00,steelix,TANK,1.00,CRITICAL_DIS,heavyslam,1.00,1.00
battle-gen9nationaldex-10901786,98,steelix,TANK,1.00,steelix,TANK,1.00,CRITICAL_DIS,toxic,1.00,1.00
battle-gen9nationaldex-10901786,99,steelix,TANK,1.00,steelix,TANK,0.82,CRITICAL_DIS,toxic,1.00,0.82
battle-gen9nationaldex-10901786,100,steelix,TANK,1.00,steelix,TANK,0.63,CRITICAL_DIS,toxic,1.00,0.63
battle-gen9nationaldex-10901786,101,steelix,TANK,1.00,steelix,TANK,0.44,CRITICAL_DIS,toxic,1.00,0.44
battle-gen9nationaldex-10901786,102,steelix,TANK,1.00,steelix,TANK,0.25,CRITICAL_DIS,toxic,1.00,0.25
battle-gen9nationaldex-10901941,96,gliscor,TANK,1.00,pecharunt,TANK,0.69,OFFENSIVE_ADV,defog,1.00,1.69
battle-gen9nationaldex-10901941,97,gliscor,TANK,1.00,pecharunt,TANK,0.69,OFFENSIVE_ADV,defog,1.00,1.69
battle-gen9nationaldex-10901941,98,gliscor,TANK,1.00,pecharunt,TANK,0.69,OFFENSIVE_ADV,struggle,1.00,1.69
battle-gen9nationaldex-10901941,99,gliscor,TANK,0.88,pecharunt,TANK,0.68,OFFENSIVE_ADV,struggle,0.88,1.68
