Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.56,2.42,24.1,0,0,21
400,78.00,156,44,0,0.0000,0.00,0.00,0,0,0.58,2.19,22.8,0,0,36
600,71.00,142,58,0,0.0000,0.00,0.00,0,0,0.57,1.84,25.6,0,0,54
800,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.62,2.22,23.2,0,0,70
1000,75.50,151,49,0,0.0000,0.00,0.00,0,0,0.62,2.15,23.2,0,0,85
1200,75.50,151,49,0,0.0000,0.00,0.00,0,0,0.61,2.15,23.9,0,0,101
1400,76.00,152,48,0,0.0000,0.00,0.00,0,0,0.60,2.35,23.5,0,0,117
1600,72.00,144,56,0,0.0000,0.00,0.00,0,0,0.60,2.15,24.9,0,0,132
1800,73.00,146,54,0,0.0000,0.00,0.00,0,0,0.61,2.28,25.0,0,0,149
2000,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.66,2.19,24.2,0,0,167
2200,79.50,159,41,0,0.0000,0.00,0.00,0,0,0.66,2.46,22.6,0,0,184
2400,80.00,160,40,0,0.0000,0.00,0.00,0,0,0.55,2.42,23.9,0,0,202
2600,75.00,150,50,0,0.0000,0.00,0.00,0,0,0.61,2.08,24.0,0,0,217
2800,81.00,162,38,0,0.0000,0.00,0.00,0,0,0.63,2.46,23.3,0,0,234
3000,80.50,161,39,0,0.0000,0.00,0.00,0,0,0.63,2.48,24.2,0,0,252
3200,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.61,2.27,23.8,0,0,265
3400,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.52,2.16,24.0,0,0,279
3600,72.50,145,55,0,0.0000,0.00,0.00,0,0,0.55,2.01,25.4,0,0,294
3800,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.43,2.18,23.8,0,0,309
4000,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.50,2.22,23.0,0,0,322
4200,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.51,2.41,24.5,0,0,335
4400,80.50,161,39,0,0.0000,0.00,0.00,0,0,0.50,2.44,22.6,0,0,347
4600,74.00,148,52,0,0.0000,0.00,0.00,0,0,0.52,2.29,23.8,0,0,360
4800,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.40,2.37,23.5,0,0,374
5000,81.00,162,38,0,0.0000,0.00,0.00,0,0,0.53,2.56,23.4,0,0,387
5200,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.52,2.23,25.9,0,0,401
5400,72.50,145,55,0,0.0000,0.00,0.00,0,0,0.49,2.02,23.6,0,0,413
5600,80.00,160,40,0,0.0000,0.00,0.00,0,0,0.50,2.40,23.8,0,0,425
5800,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.52,2.05,23.2,0,0,438
6000,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.54,2.23,24.8,0,0,451
6200,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.51,2.31,23.6,0,0,464
6400,79.50,159,41,0,0.0000,0.00,0.00,0,0,0.50,2.30,23.2,0,0,476
6600,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.49,2.27,22.7,0,0,489
6800,78.00,156,44,0,0.0000,0.00,0.00,0,0,0.51,2.18,24.3,0,0,502
7000,75.50,151,49,0,0.0000,0.00,0.00,0,0,0.51,2.12,23.1,0,0,515
7200,73.50,147,53,0,0.0000,0.00,0.00,0,0,0.57,2.10,23.4,0,0,529
7400,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.69,2.32,24.3,0,0,547
7600,81.50,163,37,0,0.0000,0.00,0.00,0,0,0.59,2.44,23.1,0,0,562
7800,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.62,2.24,23.8,0,0,579
8000,83.00,166,34,0,0.0000,0.00,0.00,0,0,0.64,2.61,24.4,0,0,598
8200,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.66,2.31,24.1,0,0,617
8400,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.48,2.32,23.2,0,0,632
8600,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.55,2.17,23.1,0,0,647
8800,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.59,2.25,23.8,0,0,664
9000,83.50,167,33,0,0.0000,0.00,0.00,0,0,0.57,2.48,24.0,0,0,681
9200,80.00,160,40,0,0.0000,0.00,0.00,0,0,0.46,2.23,24.1,0,0,695
9400,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.39,2.23,24.5,0,0,707
9600,76.00,152,48,0,0.0000,0.00,0.00,0,0,0.42,2.24,23.4,0,0,718
9800,73.50,147,53,0,0.0000,0.00,0.00,0,0,0.41,2.04,23.1,0,0,730
10000,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.42,2.27,24.4,0,0,741
