Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,78.00,156,44,0,0.0000,0.00,0.00,0,0,0.51,2.40,23.9,0,0,15
400,76.00,152,48,0,0.0000,0.00,0.00,0,0,0.50,2.19,23.2,0,0,25
600,82.00,164,36,0,0.0000,0.00,0.00,0,0,0.50,2.42,24.1,0,0,36
800,84.00,168,32,0,0.0000,0.00,0.00,0,0,0.52,2.56,22.5,0,0,46
1000,82.00,164,36,0,0.0000,0.00,0.00,0,0,0.51,2.58,24.1,0,0,56
1200,80.50,161,39,0,0.0000,0.00,0.00,0,0,0.51,2.33,23.7,0,0,66
1400,82.50,165,35,0,0.0000,0.00,0.00,0,0,0.50,2.58,23.9,0,0,77
1600,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.51,2.39,22.6,0,0,86
1800,80.00,160,40,0,0.0000,0.00,0.00,0,0,0.51,2.47,23.6,0,0,96
2000,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.51,2.37,24.5,0,0,107
2200,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.52,2.37,22.5,0,0,117
2400,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.51,2.29,24.5,0,0,128
2600,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.51,2.44,23.8,0,0,138
2800,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.51,2.31,23.7,0,0,148
3000,83.00,166,34,0,0.0000,0.00,0.00,0,0,0.51,2.61,25.1,0,0,160
3200,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.51,2.31,22.6,0,0,170
3400,72.00,144,56,0,0.0000,0.00,0.00,0,0,0.51,2.10,23.9,0,0,181
3600,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.50,2.35,24.0,0,0,192
3800,76.00,152,48,0,0.0000,0.00,0.00,0,0,0.51,2.15,23.5,0,0,202
4000,80.00,160,40,0,0.0000,0.00,0.00,0,0,0.51,2.48,23.5,0,0,213
4200,80.50,161,39,0,0.0000,0.00,0.00,0,0,0.52,2.44,25.2,0,0,224
4400,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.51,2.25,22.8,0,0,235
4600,82.00,164,36,0,0.0000,0.00,0.00,0,0,0.50,2.60,24.9,0,0,246
4800,79.50,159,41,0,0.0000,0.00,0.00,0,0,0.52,2.46,21.2,0,0,256
5000,86.00,172,28,0,0.0000,0.00,0.00,0,0,0.51,2.79,23.2,0,0,266
5200,75.00,150,50,0,0.0000,0.00,0.00,0,0,0.50,2.22,26.2,0,0,278
5400,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.51,2.43,23.9,0,0,289
5600,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.50,2.35,23.7,0,0,300
5800,81.50,163,37,0,0.0000,0.00,0.00,0,0,0.53,2.42,23.1,0,0,311
6000,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.51,2.33,24.1,0,0,322
6200,80.50,161,39,0,0.0000,0.00,0.00,0,0,0.51,2.45,23.6,0,0,333
6400,75.50,151,49,0,0.0000,0.00,0.00,0,0,0.50,2.21,23.6,0,0,344
6600,73.00,146,54,0,0.0000,0.00,0.00,0,0,0.51,2.15,22.3,0,0,355
6800,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.51,2.24,23.1,0,0,365
7000,78.00,156,44,0,0.0000,0.00,0.00,0,0,0.51,2.38,24.4,0,0,377
7200,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.52,2.21,22.6,0,0,387
7400,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.51,2.35,23.5,0,0,398
7600,82.50,165,35,0,0.0000,0.00,0.00,0,0,0.71,2.44,27.0,0,0,414
7800,83.00,166,34,0,0.0000,0.00,0.00,0,0,0.74,2.50,25.2,0,0,429
8000,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.73,2.21,23.2,0,0,443
8200,78.00,156,44,0,0.0000,0.00,0.00,0,0,0.81,2.35,23.6,0,0,459
8400,79.50,159,41,0,0.0000,0.00,0.00,0,0,1.00,2.31,24.5,0,0,479
8600,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.79,2.33,22.4,0,0,494
8800,83.00,166,34,0,0.0000,0.00,0.00,0,0,0.99,2.52,23.6,0,0,513
9000,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.90,2.25,24.0,0,0,531
9200,76.00,152,48,0,0.0000,0.00,0.00,0,0,0.86,2.16,23.0,0,0,547
9400,78.00,156,44,0,0.0000,0.00,0.00,0,0,0.80,2.29,23.5,0,0,562
9600,83.00,166,34,0,0.0000,0.00,0.00,0,0,0.81,2.56,23.4,0,0,578
9800,75.00,150,50,0,0.0000,0.00,0.00,0,0,0.78,2.17,23.3,0,0,593
10000,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.80,2.46,24.7,0,0,609
