Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,63.50,127,73,0,0.0000,0.00,0.00,0,0,0.37,1.55,27.7,0,0,16
400,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.40,1.48,30.7,0,0,30
600,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.39,1.25,28.6,0,0,44
800,64.00,128,72,0,0.0000,0.00,0.00,0,0,0.40,1.72,27.2,0,0,57
1000,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.38,1.41,31.1,0,0,72
1200,58.50,117,83,0,0.0000,0.00,0.00,0,0,0.41,1.31,28.6,0,0,86
1400,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.39,1.27,29.1,0,0,101
1600,66.00,132,68,0,0.0000,0.00,0.00,0,0,0.38,1.77,28.6,0,0,115
1800,54.00,108,92,0,0.0000,0.00,0.00,0,0,0.39,0.98,29.1,0,0,129
2000,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.38,1.41,29.0,0,0,144
2200,57.50,115,85,0,0.0000,0.00,0.00,0,0,0.37,1.46,31.0,0,0,158
2400,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.39,1.43,29.8,0,0,173
2600,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.40,1.49,28.8,0,0,187
2800,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.37,1.47,31.0,0,0,202
3000,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.39,1.28,29.5,0,0,216
3200,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.37,1.36,29.6,0,0,230
3400,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.38,1.44,27.6,0,0,244
3600,55.00,110,90,0,0.0000,0.00,0.00,0,0,0.36,1.25,29.1,0,0,257
3800,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.36,1.30,28.6,0,0,271
4000,58.00,116,84,0,0.0000,0.00,0.00,0,0,0.26,1.30,29.2,0,0,282
4200,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.35,1.49,28.8,0,0,296
4400,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.32,1.31,28.0,0,0,308
4600,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.26,1.44,28.4,0,0,319
4800,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.26,1.22,31.3,0,0,331
5000,54.00,108,92,0,0.0000,0.00,0.00,0,0,0.26,1.15,30.9,0,0,342
5200,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.26,1.52,28.2,0,0,353
5400,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.27,1.29,28.1,0,0,364
5600,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.26,1.51,29.3,0,0,375
5800,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.26,1.53,29.7,0,0,386
6000,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.26,1.59,28.8,0,0,397
6200,58.50,117,83,0,0.0000,0.00,0.00,0,0,0.26,1.31,30.0,0,0,409
6400,58.50,117,83,0,0.0000,0.00,0.00,0,0,0.27,1.22,29.2,0,0,420
6600,66.50,133,67,0,0.0000,0.00,0.00,0,0,0.26,1.73,29.8,0,0,432
6800,57.50,115,85,0,0.0000,0.00,0.00,0,0,0.30,1.17,26.9,0,0,442
7000,58.50,117,83,0,0.0000,0.00,0.00,0,0,0.26,1.25,32.4,0,0,454
7200,52.50,105,95,0,0.0000,0.00,0.00,0,0,0.25,1.02,32.4,0,0,466
7400,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.26,1.35,29.8,0,0,478
7600,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.30,1.35,28.7,0,0,491
7800,68.50,137,63,0,0.0000,0.00,0.00,0,0,0.39,1.62,28.5,0,0,506
8000,64.00,128,72,0,0.0000,0.00,0.00,0,0,0.35,1.57,29.0,0,0,519
8200,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.35,1.28,27.3,0,0,533
8400,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.38,1.50,28.9,0,0,548
8600,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.35,1.38,28.1,0,0,562
8800,63.50,127,73,0,0.0000,0.00,0.00,0,0,0.38,1.50,28.8,0,0,575
9000,57.50,115,85,0,0.0000,0.00,0.00,0,0,0.36,1.15,30.2,0,0,591
9200,62.50,125,75,0,0.0000,0.00,0.00,0,0,0.41,1.50,29.6,0,0,605
9400,62.00,124,76,0,0.0000,0.00,0.00,0,0,0.39,1.52,29.6,0,0,619
9600,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.26,1.39,30.2,0,0,631
9800,65.50,131,69,0,0.0000,0.00,0.00,0,0,0.29,1.66,27.8,0,0,643
10000,58.50,117,83,0,0.0000,0.00,0.00,0,0,0.38,1.25,30.4,0,0,660
