Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,76.00,152,48,0,0.0000,0.00,0.00,0,0,0.83,2.25,24.1,0,0,14
400,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.85,2.42,23.3,0,0,26
600,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.78,2.10,25.3,0,0,38
800,82.50,165,35,0,0.0000,0.00,0.00,0,0,0.82,2.60,23.2,0,0,49
1000,74.00,148,52,0,0.0000,0.00,0.00,0,0,0.80,2.21,24.0,0,0,61
1200,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.80,2.33,24.2,0,0,72
1400,82.00,164,36,0,0.0000,0.00,0.00,0,0,0.83,2.50,22.6,0,0,84
1600,80.50,161,39,0,0.0000,0.00,0.00,0,0,0.79,2.39,24.5,0,0,95
1800,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.81,2.32,23.6,0,0,107
2000,78.00,156,44,0,0.0000,0.00,0.00,0,0,0.80,2.41,25.0,0,0,119
2200,83.50,167,33,0,0.0000,0.00,0.00,0,0,0.80,2.54,24.1,0,0,130
2400,80.00,160,40,0,0.0000,0.00,0.00,0,0,0.82,2.31,24.4,0,0,142
2600,73.00,146,54,0,0.0000,0.00,0.00,0,0,0.79,2.11,24.7,0,0,154
2800,83.00,166,34,0,0.0000,0.00,0.00,0,0,0.80,2.55,23.1,0,0,165
3000,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.78,2.50,24.2,0,0,177
3200,75.00,150,50,0,0.0000,0.00,0.00,0,0,0.80,2.28,24.0,0,0,188
3400,81.50,163,37,0,0.0000,0.00,0.00,0,0,0.78,2.49,23.6,0,0,199
3600,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.71,2.32,22.8,0,0,212
3800,72.50,145,55,0,0.0000,0.00,0.00,0,0,0.78,2.09,24.5,0,0,224
4000,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.79,2.27,24.2,0,0,235
4200,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.78,2.44,23.9,0,0,247
4400,83.50,167,33,0,0.0000,0.00,0.00,0,0,0.77,2.65,23.0,0,0,258
4600,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.78,2.30,24.5,0,0,270
4800,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.72,2.25,23.1,0,0,283
5000,80.50,161,39,0,0.0000,0.00,0.00,0,0,0.81,2.35,23.6,0,0,294
5200,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.78,2.45,24.6,0,0,306
5400,79.50,159,41,0,0.0000,0.00,0.00,0,0,0.79,2.52,22.2,0,0,317
5600,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.79,2.44,21.6,0,0,328
5800,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.80,2.29,21.9,0,0,339
6000,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.80,2.46,24.5,0,0,350
6200,78.00,156,44,0,0.0000,0.00,0.00,0,0,0.78,2.35,23.3,0,0,361
6400,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.80,2.40,23.4,0,0,373
6600,76.00,152,48,0,0.0000,0.00,0.00,0,0,0.80,2.18,21.8,0,0,384
6800,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.86,2.36,22.5,0,0,396
7000,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.81,2.29,23.7,0,0,408
7200,80.50,161,39,0,0.0000,0.00,0.00,0,0,0.80,2.40,23.6,0,0,421
7400,82.00,164,36,0,0.0000,0.00,0.00,0,0,0.78,2.48,23.1,0,0,432
7600,80.50,161,39,0,0.0000,0.00,0.00,0,0,0.78,2.45,22.6,0,0,443
7800,74.00,148,52,0,0.0000,0.00,0.00,0,0,0.78,2.18,23.6,0,0,455
8000,81.00,162,38,0,0.0000,0.00,0.00,0,0,0.78,2.35,23.8,0,0,466
8200,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.73,2.29,24.1,0,0,477
8400,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.76,2.22,24.3,0,0,489
8600,67.00,134,66,0,0.0000,0.00,0.00,0,0,0.74,1.97,24.8,0,0,501
8800,76.00,152,48,0,0.0000,0.00,0.00,0,0,0.74,2.40,24.2,0,0,513
9000,80.00,160,40,0,0.0000,0.00,0.00,0,0,0.69,2.31,22.6,0,0,526
9200,81.00,162,38,0,0.0000,0.00,0.00,0,0,0.79,2.35,23.5,0,0,537
9400,82.50,165,35,0,0.0000,0.00,0.00,0,0,0.79,2.60,22.6,0,0,549
9600,83.00,166,34,0,0.0000,0.00,0.00,0,0,0.78,2.79,22.9,0,0,560
9800,80.50,161,39,0,0.0000,0.00,0.00,0,0,0.80,2.64,24.1,0,0,572
10000,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.77,2.34,23.5,0,0,584
