Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.29,1.54,28.6,0,0,13
400,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.33,1.45,27.9,0,0,25
600,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.27,1.60,26.3,0,0,36
800,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.35,1.35,29.7,0,0,49
1000,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.33,1.42,27.2,0,0,61
1200,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.28,1.46,28.3,0,0,72
1400,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.30,1.55,26.9,0,0,82
1600,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.26,1.38,30.1,0,0,93
1800,56.00,112,88,0,0.0000,0.00,0.00,0,0,0.26,1.11,28.0,0,0,103
2000,62.50,125,75,0,0.0000,0.00,0.00,0,0,0.27,1.47,29.3,0,0,114
2200,59.00,118,82,0,0.0000,0.00,0.00,0,0,0.26,1.43,28.1,0,0,124
2400,58.50,117,83,0,0.0000,0.00,0.00,0,0,0.26,1.34,28.4,0,0,136
2600,59.00,118,82,0,0.0000,0.00,0.00,0,0,0.28,1.47,25.7,0,0,145
2800,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.27,1.56,25.4,0,0,155
3000,62.00,124,76,0,0.0000,0.00,0.00,0,0,0.27,1.41,28.1,0,0,166
3200,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.26,1.39,28.2,0,0,176
3400,62.00,124,76,0,0.0000,0.00,0.00,0,0,0.27,1.51,26.2,0,0,187
3600,56.00,112,88,0,0.0000,0.00,0.00,0,0,0.27,1.17,28.6,0,0,198
3800,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.29,1.45,27.1,0,0,209
4000,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.27,1.35,27.6,0,0,219
4200,59.00,118,82,0,0.0000,0.00,0.00,0,0,0.27,1.27,27.3,0,0,230
4400,62.50,125,75,0,0.0000,0.00,0.00,0,0,0.26,1.31,26.9,0,0,241
4600,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.27,1.29,28.2,0,0,252
4800,58.50,117,83,0,0.0000,0.00,0.00,0,0,0.26,1.30,29.9,0,0,263
5000,62.50,125,75,0,0.0000,0.00,0.00,0,0,0.27,1.42,26.6,0,0,274
5200,64.50,129,71,0,0.0000,0.00,0.00,0,0,0.27,1.48,29.3,0,0,285
5400,57.50,115,85,0,0.0000,0.00,0.00,0,0,0.27,1.17,27.3,0,0,296
5600,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.29,1.30,27.9,0,0,307
5800,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.30,1.54,27.8,0,0,318
6000,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.27,1.47,27.9,0,0,329
6200,53.00,106,94,0,0.0000,0.00,0.00,0,0,0.27,1.15,28.1,0,0,341
6400,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.27,1.48,27.6,0,0,352
6600,54.50,109,91,0,0.0000,0.00,0.00,0,0,0.26,1.15,29.1,0,0,363
6800,58.00,116,84,0,0.0000,0.00,0.00,0,0,0.27,1.22,28.4,0,0,374
7000,58.00,116,84,0,0.0000,0.00,0.00,0,0,0.26,1.22,28.8,0,0,386
7200,58.00,116,84,0,0.0000,0.00,0.00,0,0,0.26,1.26,27.8,0,0,397
7400,62.00,124,76,0,0.0000,0.00,0.00,0,0,0.27,1.57,28.2,0,0,408
7600,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.27,1.46,28.2,0,0,419
7800,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.27,1.40,28.4,0,0,431
8000,62.00,124,76,0,0.0000,0.00,0.00,0,0,0.27,1.62,28.8,0,0,442
8200,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.26,1.20,28.8,0,0,453
8400,57.50,115,85,0,0.0000,0.00,0.00,0,0,0.27,1.23,27.1,0,0,465
8600,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.27,1.43,25.1,0,0,475
8800,63.50,127,73,0,0.0000,0.00,0.00,0,0,0.29,1.54,26.6,0,0,486
9000,58.50,117,83,0,0.0000,0.00,0.00,0,0,0.27,1.34,26.3,0,0,497
9200,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.26,1.48,28.9,0,0,508
9400,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.27,1.49,26.8,0,0,519
9600,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.26,1.42,28.9,0,0,531
9800,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.29,1.57,27.4,0,0,542
10000,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.26,1.59,28.2,0,0,554
