Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,56.00,112,88,0,0.0000,0.00,0.00,0,0,0.28,1.22,26.4,0,0,13
400,48.50,97,103,0,0.0000,0.00,0.00,0,0,0.25,0.83,27.2,0,0,22
600,52.50,105,95,0,0.0000,0.00,0.00,0,0,0.25,1.08,30.1,0,0,34
800,48.00,96,104,0,0.0000,0.00,0.00,0,0,0.25,0.74,28.3,0,0,44
1000,52.00,104,96,0,0.0000,0.00,0.00,0,0,0.25,0.85,28.1,0,0,55
1200,54.00,108,92,0,0.0000,0.00,0.00,0,0,0.25,1.02,28.2,0,0,65
1400,55.00,110,90,0,0.0000,0.00,0.00,0,0,0.25,1.09,26.9,0,0,75
1600,51.50,103,97,0,0.0000,0.00,0.00,0,0,0.25,1.01,28.0,0,0,86
1800,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.25,1.24,26.8,0,0,97
2000,54.00,108,92,0,0.0000,0.00,0.00,0,0,0.25,1.00,28.3,0,0,107
2200,52.50,105,95,0,0.0000,0.00,0.00,0,0,0.25,0.94,27.2,0,0,118
2400,50.50,101,99,0,0.0000,0.00,0.00,0,0,0.29,0.91,29.6,0,0,130
2600,50.50,101,99,0,0.0000,0.00,0.00,0,0,0.37,0.73,29.4,0,0,145
2800,52.50,105,95,0,0.0000,0.00,0.00,0,0,0.36,0.93,28.1,0,0,160
3000,44.50,89,111,0,0.0000,0.00,0.00,0,0,0.36,0.66,29.8,0,0,175
3200,50.50,101,99,0,0.0000,0.00,0.00,0,0,0.36,0.85,28.8,0,0,190
3400,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.25,1.20,27.4,0,0,201
3600,49.00,98,102,0,0.0000,0.00,0.00,0,0,0.30,0.84,29.6,0,0,214
3800,49.00,98,102,0,0.0000,0.00,0.00,0,0,0.36,0.73,28.0,0,0,228
4000,51.50,103,97,0,0.0000,0.00,0.00,0,0,0.40,0.87,26.2,0,0,241
4200,50.00,100,100,0,0.0000,0.00,0.00,0,0,0.37,0.87,29.0,0,0,256
4400,59.00,118,82,0,0.0000,0.00,0.00,0,0,0.36,1.07,29.3,0,0,271
4600,43.00,86,114,0,0.0000,0.00,0.00,0,0,0.36,0.78,28.5,0,0,286
4800,47.50,95,105,0,0.0000,0.00,0.00,0,0,0.25,0.93,27.7,0,0,297
5000,55.00,110,90,0,0.0000,0.00,0.00,0,0,0.29,1.06,31.6,0,0,311
5200,52.50,105,95,0,0.0000,0.00,0.00,0,0,0.32,0.93,29.2,0,0,324
5400,52.50,105,95,0,0.0000,0.00,0.00,0,0,0.32,0.97,28.1,0,0,338
5600,50.00,100,100,0,0.0000,0.00,0.00,0,0,0.33,0.78,27.2,0,0,351
5800,51.00,102,98,0,0.0000,0.00,0.00,0,0,0.35,0.84,27.7,0,0,365
6000,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.34,1.06,28.9,0,0,380
6200,55.50,111,89,0,0.0000,0.00,0.00,0,0,0.34,1.07,28.4,0,0,393
6400,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.34,1.19,28.3,0,0,406
6600,54.00,108,92,0,0.0000,0.00,0.00,0,0,0.25,1.12,27.5,0,0,417
6800,53.50,107,93,0,0.0000,0.00,0.00,0,0,0.32,1.03,26.9,0,0,430
7000,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.32,1.27,29.8,0,0,445
7200,53.00,106,94,0,0.0000,0.00,0.00,0,0,0.31,1.11,28.0,0,0,458
7400,56.00,112,88,0,0.0000,0.00,0.00,0,0,0.34,1.10,28.0,0,0,472
7600,54.00,108,92,0,0.0000,0.00,0.00,0,0,0.33,0.99,30.2,0,0,487
7800,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.34,1.10,31.2,0,0,503
8000,47.00,94,106,0,0.0000,0.00,0.00,0,0,0.31,0.72,27.9,0,0,516
8200,52.50,105,95,0,0.0000,0.00,0.00,0,0,0.38,0.92,27.0,0,0,529
8400,53.00,106,94,0,0.0000,0.00,0.00,0,0,0.31,0.89,28.1,0,0,542
8600,45.50,91,109,0,0.0000,0.00,0.00,0,0,0.31,0.68,30.0,0,0,556
8800,51.50,103,97,0,0.0000,0.00,0.00,0,0,0.34,0.98,26.5,0,0,569
9000,54.50,109,91,0,0.0000,0.00,0.00,0,0,0.31,0.99,27.6,0,0,582
9200,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.32,1.00,29.6,0,0,596
9400,47.50,95,105,0,0.0000,0.00,0.00,0,0,0.32,0.73,28.2,0,0,610
9600,56.50,113,87,0,0.0000,0.00,0.00,0,0,0.32,1.12,29.0,0,0,624
9800,50.00,100,100,0,0.0000,0.00,0.00,0,0,0.32,0.94,26.6,0,0,637
10000,51.00,102,98,0,0.0000,0.00,0.00,0,0,0.33,0.88,28.2,0,0,651
10200,52.50,105,95,0,0.0000,0.00,0.00,0,0,0.33,0.90,28.3,0,0,665
10400,45.00,90,110,0,0.0000,0.00,0.00,0,0,0.36,0.62,28.4,0,0,680
