Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.29,1.44,28.7,0,0,11
400,55.50,111,89,0,0.0000,0.00,0.00,0,0,0.29,1.09,27.3,0,0,19
600,57.50,115,85,0,0.0000,0.00,0.00,0,0,0.29,1.06,30.4,0,0,29
800,55.50,111,89,0,0.0000,0.00,0.00,0,0,0.30,1.10,28.1,0,0,38
1000,66.50,133,67,0,0.0000,0.00,0.00,0,0,0.29,1.55,27.7,0,0,47
1200,58.00,116,84,0,0.0000,0.00,0.00,0,0,0.28,1.28,31.4,0,0,57
1400,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.30,1.36,26.0,0,0,65
1600,63.50,127,73,0,0.0000,0.00,0.00,0,0,0.30,1.58,27.8,0,0,74
1800,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.30,1.20,27.6,0,0,83
2000,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.29,1.41,27.3,0,0,92
2200,57.50,115,85,0,0.0000,0.00,0.00,0,0,0.30,1.23,25.9,0,0,100
2400,54.00,108,92,0,0.0000,0.00,0.00,0,0,0.29,0.98,30.3,0,0,110
2600,57.50,115,85,0,0.0000,0.00,0.00,0,0,0.29,1.17,29.8,0,0,120
2800,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.30,1.20,27.6,0,0,129
3000,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.30,1.17,29.9,0,0,139
3200,53.50,107,93,0,0.0000,0.00,0.00,0,0,0.29,1.02,28.4,0,0,148
3400,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.30,1.60,29.5,0,0,158
3600,62.50,125,75,0,0.0000,0.00,0.00,0,0,0.29,1.52,28.1,0,0,167
3800,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.29,1.19,27.7,0,0,176
4000,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.30,1.34,27.2,0,0,185
4200,56.00,112,88,0,0.0000,0.00,0.00,0,0,0.29,1.12,29.8,0,0,195
4400,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.29,1.54,26.9,0,0,203
4600,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.29,1.30,28.1,0,0,213
4800,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.30,1.34,26.4,0,0,222
5000,63.50,127,73,0,0.0000,0.00,0.00,0,0,0.29,1.47,28.7,0,0,231
5200,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.29,1.38,29.2,0,0,241
5400,55.50,111,89,0,0.0000,0.00,0.00,0,0,0.29,1.30,30.6,0,0,251
5600,68.50,137,63,0,0.0000,0.00,0.00,0,0,0.29,1.72,26.1,0,0,260
5800,56.00,112,88,0,0.0000,0.00,0.00,0,0,0.29,1.25,27.7,0,0,269
6000,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.30,1.44,29.2,0,0,279
6200,59.00,118,82,0,0.0000,0.00,0.00,0,0,0.29,1.44,29.0,0,0,288
6400,62.50,125,75,0,0.0000,0.00,0.00,0,0,0.30,1.39,28.0,0,0,298
6600,67.00,134,66,0,0.0000,0.00,0.00,0,0,0.30,1.59,25.0,0,0,307
6800,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.30,1.31,28.8,0,0,317
7000,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.29,1.24,28.4,0,0,327
7200,55.00,110,90,0,0.0000,0.00,0.00,0,0,0.30,1.17,27.4,0,0,336
7400,64.50,129,71,0,0.0000,0.00,0.00,0,0,0.30,1.43,26.3,0,0,345
7600,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.29,1.33,27.8,0,0,354
7800,62.50,125,75,0,0.0000,0.00,0.00,0,0,0.29,1.50,27.5,0,0,364
8000,58.50,117,83,0,0.0000,0.00,0.00,0,0,0.30,1.21,28.1,0,0,373
8200,66.00,132,68,0,0.0000,0.00,0.00,0,0,0.30,1.51,27.2,0,0,383
8400,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.29,1.31,29.1,0,0,393
8600,66.50,133,67,0,0.0000,0.00,0.00,0,0,0.30,1.57,26.5,0,0,402
8800,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.29,1.31,27.5,0,0,412
9000,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.29,1.30,29.2,0,0,422
9200,67.00,134,66,0,0.0000,0.00,0.00,0,0,0.29,1.52,28.1,0,0,432
9400,53.00,106,94,0,0.0000,0.00,0.00,0,0,0.29,1.11,28.9,0,0,442
9600,63.50,127,73,0,0.0000,0.00,0.00,0,0,0.29,1.33,26.3,0,0,452
9800,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.30,1.27,27.8,0,0,461
10000,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.30,1.33,29.0,0,0,471
