Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.29,1.47,29.8,0,0,12
400,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.30,1.30,26.7,0,0,20
600,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.29,1.28,28.4,0,0,30
800,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.30,1.41,26.0,0,0,39
1000,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.30,1.39,27.5,0,0,47
1200,58.00,116,84,0,0.0000,0.00,0.00,0,0,0.33,1.33,29.6,0,0,58
1400,63.50,127,73,0,0.0000,0.00,0.00,0,0,0.30,1.50,27.4,0,0,67
1600,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.46,1.31,28.0,0,0,81
1800,55.50,111,89,0,0.0000,0.00,0.00,0,0,0.49,1.17,28.7,0,0,96
2000,58.50,117,83,0,0.0000,0.00,0.00,0,0,0.48,1.30,27.3,0,0,110
2200,59.00,118,82,0,0.0000,0.00,0.00,0,0,0.49,1.28,26.9,0,0,124
2400,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.38,1.35,29.5,0,0,136
2600,57.50,115,85,0,0.0000,0.00,0.00,0,0,0.40,1.26,28.0,0,0,147
2800,53.50,107,93,0,0.0000,0.00,0.00,0,0,0.44,1.05,28.2,0,0,159
3000,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.49,1.30,28.3,0,0,173
3200,53.50,107,93,0,0.0000,0.00,0.00,0,0,0.47,1.16,27.6,0,0,186
3400,64.00,128,72,0,0.0000,0.00,0.00,0,0,0.43,1.55,27.6,0,0,198
3600,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.41,1.31,28.4,0,0,209
3800,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.41,1.35,27.1,0,0,221
4000,52.00,104,96,0,0.0000,0.00,0.00,0,0,0.45,1.13,27.4,0,0,233
4200,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.46,1.41,27.0,0,0,246
4400,67.00,134,66,0,0.0000,0.00,0.00,0,0,0.43,1.76,27.3,0,0,257
4600,58.00,116,84,0,0.0000,0.00,0.00,0,0,0.45,1.38,30.4,0,0,270
4800,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.41,1.31,26.3,0,0,284
5000,62.00,124,76,0,0.0000,0.00,0.00,0,0,0.47,1.49,29.5,0,0,298
5200,55.00,110,90,0,0.0000,0.00,0.00,0,0,0.45,1.17,28.6,0,0,312
5400,58.00,116,84,0,0.0000,0.00,0.00,0,0,0.49,1.30,28.7,0,0,326
5600,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.44,1.40,28.0,0,0,338
5800,57.00,114,86,0,0.0000,0.00,0.00,0,0,0.45,1.28,27.6,0,0,351
6000,65.00,130,70,0,0.0000,0.00,0.00,0,0,0.43,1.58,28.9,0,0,364
6200,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.44,1.41,29.4,0,0,377
6400,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.45,1.44,27.6,0,0,390
6600,58.00,116,84,0,0.0000,0.00,0.00,0,0,0.38,1.22,26.4,0,0,402
6800,67.00,134,66,0,0.0000,0.00,0.00,0,0,0.31,1.67,26.8,0,0,411
7000,58.50,117,83,0,0.0000,0.00,0.00,0,0,0.31,1.25,27.2,0,0,421
7200,63.50,127,73,0,0.0000,0.00,0.00,0,0,0.31,1.52,25.8,0,0,430
7400,60.00,120,80,0,0.0000,0.00,0.00,0,0,0.30,1.20,28.9,0,0,440
7600,55.00,110,90,0,0.0000,0.00,0.00,0,0,0.31,1.21,28.3,0,0,450
7800,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.31,1.32,28.4,0,0,460
8000,64.00,128,72,0,0.0000,0.00,0.00,0,0,0.31,1.37,28.7,0,0,470
8200,65.00,130,70,0,0.0000,0.00,0.00,0,0,0.30,1.68,25.8,0,0,479
8400,51.50,103,97,0,0.0000,0.00,0.00,0,0,0.30,0.77,29.9,0,0,489
8600,53.50,107,93,0,0.0000,0.00,0.00,0,0,0.30,1.06,28.2,0,0,499
8800,61.00,122,78,0,0.0000,0.00,0.00,0,0,0.30,1.45,26.6,0,0,508
9000,55.00,110,90,0,0.0000,0.00,0.00,0,0,0.25,1.14,28.9,0,0,520
9200,63.50,127,73,0,0.0000,0.00,0.00,0,0,0.31,1.47,27.9,0,0,529
9400,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.30,1.46,26.6,0,0,539
9600,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.30,1.33,27.2,0,0,549
9800,69.50,139,61,0,0.0000,0.00,0.00,0,0,0.37,1.67,27.9,0,0,560
10000,59.00,118,82,0,0.0000,0.00,0.00,0,0,0.48,1.44,27.0,0,0,575
