Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,55.50,111,84,0,0.0000,0.00,0.00,0,0,0.37,0.66,58.6,5,0,25
400,45.50,91,106,0,0.0000,0.00,0.00,0,0,0.41,0.12,48.1,3,0,46
600,44.00,88,107,0,0.0000,0.00,0.00,0,0,0.40,0.20,62.5,5,0,69
800,51.50,103,91,0,0.0000,0.00,0.00,0,0,0.44,0.74,63.9,6,0,95
1000,51.00,102,88,0,0.0000,0.00,0.00,0,0,0.43,0.59,81.8,10,0,127
1200,47.50,95,102,0,0.0000,0.00,0.00,0,0,0.42,0.32,48.1,3,0,147
1400,47.50,95,98,0,0.0000,0.00,0.00,0,0,0.43,0.33,69.4,7,0,173
1600,48.00,96,102,0,0.0000,0.00,0.00,0,0,0.37,0.60,41.5,2,0,189
1800,46.50,93,103,0,0.0000,0.00,0.00,0,0,0.31,0.27,55.3,4,0,206
2000,50.00,100,92,0,0.0000,0.00,0.00,0,0,0.31,0.58,72.2,8,0,227
2200,45.00,90,105,0,0.0000,0.00,0.00,0,0,0.33,0.33,57.2,5,0,245
2400,46.50,93,98,0,0.0000,0.00,0.00,0,0,0.30,0.35,80.5,9,0,269
2600,50.00,100,94,0,0.0000,0.00,0.00,0,0,0.30,0.54,66.0,6,0,289
2800,46.00,92,102,0,0.0000,0.00,0.00,0,0,0.30,0.48,63.6,6,0,308
3000,44.50,89,105,0,0.0000,0.00,0.00,0,0,0.48,0.14,66.2,6,0,339
3200,49.50,99,89,0,0.0000,0.00,0.00,0,0,0.49,0.56,90.8,12,0,379
3400,47.00,94,98,0,0.0000,0.00,0.00,0,0,0.46,0.33,73.9,8,0,412
3600,51.00,102,92,0,0.0000,0.00,0.00,0,0,0.45,0.55,63.9,6,0,440
3800,49.50,99,95,0,0.0000,0.00,0.00,0,0,0.44,0.49,64.0,6,0,466
4000,47.50,95,103,0,0.0000,0.00,0.00,0,0,0.44,0.40,42.4,2,0,485
4200,51.00,102,92,0,0.0000,0.00,0.00,0,0,0.43,0.52,63.2,6,0,510
4400,48.50,97,101,0,0.0000,0.00,0.00,0,0,0.47,0.52,43.8,2,0,532
4600,49.00,98,98,0,0.0000,0.00,0.00,0,0,0.44,0.45,53.3,4,0,554
4800,47.00,94,104,0,0.0000,0.00,0.00,0,0,0.41,0.36,43.6,2,0,572
5000,50.00,100,96,0,0.0000,0.00,0.00,0,0,0.44,0.46,56.1,4,0,597
5200,52.00,104,89,0,0.0000,0.00,0.00,0,0,0.41,0.67,68.8,7,0,625
5400,53.00,106,88,0,0.0000,0.00,0.00,0,0,0.42,0.67,63.8,6,0,650
5600,49.50,99,96,0,0.0000,0.00,0.00,0,0,0.43,0.47,58.0,5,0,675
5800,47.50,95,98,0,0.0000,0.00,0.00,0,0,0.47,0.53,67.1,7,0,706
6000,49.50,99,95,0,0.0000,0.00,0.00,0,0,0.44,0.51,63.6,6,0,734
6200,48.00,96,99,0,0.0000,0.00,0.00,0,0,0.41,0.47,58.5,5,0,757
6400,48.50,97,101,0,0.0000,0.00,0.00,0,0,0.40,0.28,44.6,2,0,775
6600,53.50,107,87,0,0.0000,0.00,0.00,0,0,0.44,0.69,62.3,6,0,801
6800,46.50,93,102,0,0.0000,0.00,0.00,0,0,0.45,0.19,58.4,5,0,825
7000,44.00,88,105,0,0.0000,0.00,0.00,0,0,0.42,0.24,68.9,7,0,853
7200,41.50,83,112,0,0.0000,0.00,0.00,0,0,0.36,0.05,58.9,5,0,876
7400,47.50,95,101,0,0.0000,0.00,0.00,0,0,0.44,0.51,52.2,4,0,900
7600,53.00,106,87,0,0.0000,0.00,0.00,0,0,0.43,0.67,66.8,7,0,928
7800,50.50,101,92,0,0.0000,0.00,0.00,0,0,0.50,0.43,69.2,7,0,960
8000,48.00,96,96,0,0.0000,0.00,0.00,0,0,0.48,0.47,73.0,8,0,994
8200,55.00,110,84,0,0.0000,0.00,0.00,0,0,0.47,0.75,62.0,6,0,1022
8400,45.50,91,103,0,0.0000,0.00,0.00,0,0,0.48,0.31,63.7,6,0,1051
8600,52.50,105,88,0,0.0000,0.00,0.00,0,0,0.46,0.52,67.1,7,0,1082
8800,45.00,90,105,0,0.0000,0.00,0.00,0,0,0.44,0.15,57.8,5,0,1109
9000,48.50,97,98,0,0.0000,0.00,0.00,0,0,0.44,0.50,57.7,5,0,1135
9200,47.00,94,101,0,0.0000,0.00,0.00,0,0,0.50,0.32,58.7,5,0,1165
9400,47.00,94,102,0,0.0000,0.00,0.00,0,0,0.47,0.36,54.1,4,0,1191
9600,49.00,98,97,0,0.0000,0.00,0.00,0,0,0.45,0.43,57.3,5,0,1219
9800,48.00,96,100,0,0.0000,0.00,0.00,0,0,0.47,0.21,54.5,4,0,1246
10000,54.00,108,86,0,0.0000,0.00,0.00,0,0,0.47,0.86,65.2,6,0,1277
