Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,57.50,115,79,0,0.0000,0.00,0.00,0,0,0.42,0.72,63.3,6,0,31
400,52.00,104,86,0,0.0000,0.00,0.00,0,0,0.46,0.60,85.9,10,0,69
600,47.50,95,99,0,0.0000,0.00,0.00,0,0,0.42,0.31,64.1,6,0,96
800,52.00,104,89,0,0.0000,0.00,0.00,0,0,0.48,0.74,64.3,7,0,126
1000,40.50,81,113,0,0.0000,0.00,0.00,0,0,0.50,-0.01,64.2,6,0,157
1200,43.50,87,106,0,0.0000,0.00,0.00,0,0,0.50,0.33,67.3,7,0,189
1400,45.00,90,102,0,0.0000,0.00,0.00,0,0,0.47,0.34,74.0,8,0,223
1600,51.00,102,94,0,0.0000,0.00,0.00,0,0,0.49,0.48,53.8,4,0,249
1800,48.50,97,97,0,0.0000,0.00,0.00,0,0,0.40,0.41,60.6,6,0,273
2000,47.50,95,102,0,0.0000,0.00,0.00,0,0,0.45,0.48,50.6,3,0,294
2200,45.00,90,108,0,0.0000,0.00,0.00,0,0,0.42,0.30,43.6,2,0,312
2400,45.00,90,104,0,0.0000,0.00,0.00,0,0,0.44,0.35,64.0,6,0,338
2600,50.00,100,96,0,0.0000,0.00,0.00,0,0,0.44,0.67,55.8,4,0,362
2800,43.00,86,106,0,0.0000,0.00,0.00,0,0,0.44,0.07,74.9,8,0,391
3000,48.50,97,102,0,0.0000,0.00,0.00,0,0,0.45,0.36,38.9,1,0,410
3200,55.50,111,82,0,0.0000,0.00,0.00,0,0,0.42,0.78,70.5,7,0,437
3400,50.50,101,95,0,0.0000,0.00,0.00,0,0,0.40,0.42,53.3,4,0,457
3600,50.00,100,88,0,0.0000,0.00,0.00,0,0,0.45,0.65,91.7,12,0,493
3800,49.00,98,94,0,0.0000,0.00,0.00,0,0,0.49,0.41,75.6,8,0,529
4000,42.00,84,110,0,0.0000,0.00,0.00,0,0,0.48,0.07,61.5,6,0,558
4200,46.50,93,97,0,0.0000,0.00,0.00,0,0,0.50,0.41,85.2,10,0,597
4400,51.50,103,91,0,0.0000,0.00,0.00,0,0,0.44,0.42,62.4,6,0,623
4600,48.00,96,96,0,0.0000,0.00,0.00,0,0,0.48,0.42,72.6,8,0,657
4800,50.00,100,97,0,0.0000,0.00,0.00,0,0,0.50,0.54,48.9,3,0,683
5000,52.00,104,89,0,0.0000,0.00,0.00,0,0,0.50,0.54,68.2,7,0,715
5200,47.50,95,98,0,0.0000,0.00,0.00,0,0,0.52,0.36,67.7,7,0,749
5400,47.00,94,102,0,0.0000,0.00,0.00,0,0,0.50,0.33,54.4,4,0,776
5600,45.00,90,104,0,0.0000,0.00,0.00,0,0,0.47,0.38,61.3,6,0,806
5800,49.50,99,93,0,0.0000,0.00,0.00,0,0,0.54,0.63,72.7,8,0,843
6000,50.00,100,97,0,0.0000,0.00,0.00,0,0,0.46,0.41,50.0,3,0,868
6200,48.00,96,101,0,0.0000,0.00,0.00,0,0,0.49,0.23,48.5,3,0,894
6400,47.00,94,99,0,0.0000,0.00,0.00,0,0,0.46,0.32,68.4,7,0,925
6600,48.00,96,100,0,0.0000,0.00,0.00,0,0,0.46,0.47,53.7,4,0,951
6800,55.50,111,86,0,0.0000,0.00,0.00,0,0,0.49,0.72,48.3,3,0,977
7000,49.00,98,92,0,0.0000,0.00,0.00,0,0,0.47,0.56,83.6,10,0,1015
7200,53.50,107,88,0,0.0000,0.00,0.00,0,0,0.52,0.83,58.0,5,0,1045
7400,47.50,95,102,0,0.0000,0.00,0.00,0,0,0.46,0.23,50.5,3,0,1072
7600,48.50,97,100,0,0.0000,0.00,0.00,0,0,0.47,0.39,49.8,3,0,1097
7800,49.50,99,96,0,0.0000,0.00,0.00,0,0,0.51,0.38,58.7,5,0,1126
8000,47.50,95,95,0,0.0000,0.00,0.00,0,0,0.49,0.47,80.8,10,0,1163
8200,47.50,95,99,0,0.0000,0.00,0.00,0,0,0.48,0.22,63.6,6,0,1195
8400,45.50,91,104,0,0.0000,0.00,0.00,0,0,0.50,0.36,60.4,5,0,1226
8600,45.50,91,103,0,0.0000,0.00,0.00,0,0,0.50,0.26,64.1,6,0,1257
8800,47.50,95,100,0,0.0000,0.00,0.00,0,0,0.50,0.29,57.2,5,0,1285
9000,52.50,105,90,0,0.0000,0.00,0.00,0,0,0.51,0.69,59.9,5,0,1315
9200,42.50,85,105,0,0.0000,0.00,0.00,0,0,0.47,0.08,86.7,10,0,1355
9400,48.50,97,97,0,0.0000,0.00,0.00,0,0,0.50,0.51,65.5,6,0,1389
9600,46.00,92,103,0,0.0000,0.00,0.00,0,0,0.47,0.38,58.5,5,0,1418
9800,55.00,110,85,0,0.0000,0.00,0.00,0,0,0.49,0.82,59.1,5,0,1448
10000,44.50,89,102,0,0.0000,0.00,0.00,0,0,0.48,0.21,79.7,9,0,1485
