Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,70.00,140,60,0,0.0000,0.00,0.00,0,0,0.32,1.90,27.3,0,0,12
400,62.50,125,75,0,0.0000,0.00,0.00,0,0,0.32,1.48,25.5,0,0,21
600,59.50,119,81,0,0.0000,0.00,0.00,0,0,0.32,1.32,25.8,0,0,31
800,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.32,1.65,25.8,0,0,40
1000,64.50,129,71,0,0.0000,0.00,0.00,0,0,0.33,1.43,26.0,0,0,49
1200,64.50,129,71,0,0.0000,0.00,0.00,0,0,0.32,1.66,27.2,0,0,58
1400,69.50,139,61,0,0.0000,0.00,0.00,0,0,0.33,1.87,24.7,0,0,67
1600,65.00,130,70,0,0.0000,0.00,0.00,0,0,0.32,1.62,26.5,0,0,77
1800,64.50,129,71,0,0.0000,0.00,0.00,0,0,0.32,1.49,26.7,0,0,86
2000,64.50,129,71,0,0.0000,0.00,0.00,0,0,0.33,1.56,25.9,0,0,96
2200,66.00,132,68,0,0.0000,0.00,0.00,0,0,0.32,1.59,26.2,0,0,105
2400,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.33,1.44,26.0,0,0,115
2600,62.50,125,75,0,0.0000,0.00,0.00,0,0,0.33,1.43,26.0,0,0,124
2800,68.50,137,63,0,0.0000,0.00,0.00,0,0,0.32,1.61,27.7,0,0,134
3000,64.50,129,71,0,0.0000,0.00,0.00,0,0,0.32,1.62,28.4,0,0,144
3200,66.00,132,68,0,0.0000,0.00,0.00,0,0,0.32,1.86,24.5,0,0,153
3400,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.32,1.72,27.0,0,0,162
3600,67.00,134,66,0,0.0000,0.00,0.00,0,0,0.32,1.80,26.1,0,0,172
3800,68.00,136,64,0,0.0000,0.00,0.00,0,0,0.32,1.63,26.1,0,0,181
4000,65.50,131,69,0,0.0000,0.00,0.00,0,0,0.32,1.52,26.1,0,0,190
4200,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.32,1.70,26.7,0,0,200
4400,72.50,145,55,0,0.0000,0.00,0.00,0,0,0.32,2.02,24.4,0,0,209
4600,68.50,137,63,0,0.0000,0.00,0.00,0,0,0.32,1.76,26.3,0,0,218
4800,64.00,128,72,0,0.0000,0.00,0.00,0,0,0.33,1.75,24.4,0,0,227
5000,70.50,141,59,0,0.0000,0.00,0.00,0,0,0.32,1.96,25.9,0,0,236
5200,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.32,1.66,28.6,0,0,246
5400,72.50,145,55,0,0.0000,0.00,0.00,0,0,0.33,1.84,26.8,0,0,256
5600,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.33,1.74,26.6,0,0,267
5800,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.34,1.47,25.7,0,0,277
6000,70.00,140,60,0,0.0000,0.00,0.00,0,0,0.33,1.87,27.1,0,0,286
6200,65.00,130,70,0,0.0000,0.00,0.00,0,0,0.32,1.60,26.1,0,0,296
6400,69.00,138,62,0,0.0000,0.00,0.00,0,0,0.32,1.75,25.5,0,0,304
6600,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.32,1.85,24.6,0,0,313
6800,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.33,1.89,26.2,0,0,323
7000,62.50,125,75,0,0.0000,0.00,0.00,0,0,0.32,1.43,26.3,0,0,332
7200,69.50,139,61,0,0.0000,0.00,0.00,0,0,0.32,1.83,25.6,0,0,342
7400,74.50,149,51,0,0.0000,0.00,0.00,0,0,0.32,2.04,23.6,0,0,350
7600,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.32,1.53,27.7,0,0,360
7800,63.50,127,73,0,0.0000,0.00,0.00,0,0,0.33,1.62,26.3,0,0,369
8000,67.00,134,66,0,0.0000,0.00,0.00,0,0,0.32,1.78,25.7,0,0,379
8200,68.00,136,64,0,0.0000,0.00,0.00,0,0,0.32,1.68,26.6,0,0,389
8400,66.00,132,68,0,0.0000,0.00,0.00,0,0,0.32,1.62,26.2,0,0,399
8600,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.32,1.40,26.2,0,0,408
8800,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.32,1.55,25.3,0,0,417
9000,62.00,124,76,0,0.0000,0.00,0.00,0,0,0.32,1.53,26.4,0,0,426
9200,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.32,1.66,26.4,0,0,436
9400,61.50,123,77,0,0.0000,0.00,0.00,0,0,0.33,1.47,25.7,0,0,445
9600,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.33,1.74,26.3,0,0,454
9800,73.50,147,53,0,0.0000,0.00,0.00,0,0,0.32,1.89,25.6,0,0,464
10000,70.00,140,60,0,0.0000,0.00,0.00,0,0,0.33,1.88,25.6,0,0,473
