Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,44.50,89,110,0,0.0000,0.00,0.00,0,0,0.34,0.28,39.2,1,0,18
400,52.00,104,96,0,0.0000,0.00,0.00,0,0,0.49,0.57,32.5,0,0,36
600,51.50,103,97,0,0.0000,0.00,0.00,0,0,0.47,0.46,34.6,0,0,54
800,42.50,85,115,0,0.0000,0.00,0.00,0,0,0.41,0.06,34.7,0,0,69
1000,49.50,99,100,0,0.0000,0.00,0.00,0,0,0.47,0.40,38.9,1,0,89
1200,46.00,92,107,0,0.0000,0.00,0.00,0,0,0.44,0.20,39.4,1,0,108
1400,42.00,84,116,0,0.0000,0.00,0.00,0,0,0.38,0.07,32.3,0,0,122
1600,55.50,111,89,0,0.0000,0.00,0.00,0,0,0.50,0.64,32.7,0,0,141
1800,53.00,106,94,0,0.0000,0.00,0.00,0,0,0.49,0.44,36.2,0,0,160
2000,52.50,105,94,0,0.0000,0.00,0.00,0,0,0.47,0.41,39.6,1,0,179
