Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,72.50,145,55,0,0.0000,0.00,0.00,0,0,0.33,2.06,26.0,0,0,12
400,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.35,1.66,25.8,0,0,20
600,65.50,131,69,0,0.0000,0.00,0.00,0,0,0.35,1.75,25.4,0,0,29
800,68.50,137,63,0,0.0000,0.00,0.00,0,0,0.34,1.78,26.3,0,0,38
1000,65.00,130,70,0,0.0000,0.00,0.00,0,0,0.33,1.59,26.9,0,0,47
1200,60.50,121,79,0,0.0000,0.00,0.00,0,0,0.33,1.41,26.1,0,0,55
1400,68.50,137,63,0,0.0000,0.00,0.00,0,0,0.33,1.81,27.0,0,0,64
1600,67.00,134,66,0,0.0000,0.00,0.00,0,0,0.34,1.75,26.9,0,0,73
1800,65.00,130,70,0,0.0000,0.00,0.00,0,0,0.35,1.58,25.8,0,0,82
2000,64.00,128,72,0,0.0000,0.00,0.00,0,0,0.34,1.73,26.2,0,0,91
2200,63.50,127,73,0,0.0000,0.00,0.00,0,0,0.34,1.63,25.0,0,0,99
2400,66.00,132,68,0,0.0000,0.00,0.00,0,0,0.34,1.75,25.5,0,0,108
2600,63.00,126,74,0,0.0000,0.00,0.00,0,0,0.34,1.64,26.5,0,0,116
2800,70.50,141,59,0,0.0000,0.00,0.00,0,0,0.34,1.90,24.8,0,0,125
3000,70.00,140,60,0,0.0000,0.00,0.00,0,0,0.33,1.95,26.0,0,0,133
3200,66.00,132,68,0,0.0000,0.00,0.00,0,0,0.34,1.67,24.9,0,0,141
3400,64.00,128,72,0,0.0000,0.00,0.00,0,0,0.34,1.72,25.5,0,0,150
3600,69.50,139,61,0,0.0000,0.00,0.00,0,0,0.33,1.85,26.4,0,0,159
3800,63.50,127,73,0,0.0000,0.00,0.00,0,0,0.35,1.51,25.7,0,0,168
4000,70.00,140,60,0,0.0000,0.00,0.00,0,0,0.35,1.75,25.7,0,0,177
4200,66.00,132,68,0,0.0000,0.00,0.00,0,0,0.34,1.65,25.3,0,0,185
4400,70.50,141,59,0,0.0000,0.00,0.00,0,0,0.34,1.82,25.4,0,0,194
4600,67.00,134,66,0,0.0000,0.00,0.00,0,0,0.35,1.71,26.8,0,0,203
4800,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.34,1.74,24.1,0,0,211
5000,68.50,137,63,0,0.0000,0.00,0.00,0,0,0.33,1.80,25.5,0,0,220
5200,69.00,138,62,0,0.0000,0.00,0.00,0,0,0.33,1.79,27.6,0,0,229
5400,66.00,132,68,0,0.0000,0.00,0.00,0,0,0.34,1.68,26.3,0,0,238
5600,66.50,133,67,0,0.0000,0.00,0.00,0,0,0.34,1.78,24.1,0,0,247
5800,68.00,136,64,0,0.0000,0.00,0.00,0,0,0.34,1.78,24.9,0,0,255
6000,68.00,136,64,0,0.0000,0.00,0.00,0,0,0.34,1.81,24.7,0,0,264
6200,69.00,138,62,0,0.0000,0.00,0.00,0,0,0.33,1.89,26.1,0,0,273
6400,62.50,125,75,0,0.0000,0.00,0.00,0,0,0.34,1.50,25.3,0,0,282
6600,65.00,130,70,0,0.0000,0.00,0.00,0,0,0.34,1.50,24.9,0,0,291
6800,68.00,136,64,0,0.0000,0.00,0.00,0,0,0.34,1.73,25.5,0,0,300
7000,69.50,139,61,0,0.0000,0.00,0.00,0,0,0.34,1.71,26.5,0,0,309
7200,66.00,132,68,0,0.0000,0.00,0.00,0,0,0.33,1.76,26.0,0,0,318
7400,68.50,137,63,0,0.0000,0.00,0.00,0,0,0.34,1.81,24.1,0,0,326
7600,71.00,142,58,0,0.0000,0.00,0.00,0,0,0.34,1.93,24.3,0,0,335
7800,70.50,141,59,0,0.0000,0.00,0.00,0,0,0.33,1.82,26.9,0,0,344
8000,67.50,135,65,0,0.0000,0.00,0.00,0,0,0.34,1.59,25.7,0,0,353
8200,71.50,143,57,0,0.0000,0.00,0.00,0,0,0.35,1.86,25.3,0,0,362
8400,68.00,136,64,0,0.0000,0.00,0.00,0,0,0.34,1.89,25.1,0,0,371
8600,66.00,132,68,0,0.0000,0.00,0.00,0,0,0.33,1.65,26.5,0,0,380
8800,73.00,146,54,0,0.0000,0.00,0.00,0,0,0.35,1.98,24.4,0,0,389
9000,69.00,138,62,0,0.0000,0.00,0.00,0,0,0.29,1.85,26.2,0,0,400
9200,64.50,129,71,0,0.0000,0.00,0.00,0,0,0.34,1.66,26.4,0,0,409
9400,62.00,124,76,0,0.0000,0.00,0.00,0,0,0.34,1.49,27.4,0,0,419
9600,70.00,140,60,0,0.0000,0.00,0.00,0,0,0.33,1.90,25.7,0,0,428
9800,73.00,146,54,0,0.0000,0.00,0.00,0,0,0.34,1.99,25.4,0,0,437
10000,64.50,129,71,0,0.0000,0.00,0.00,0,0,0.34,1.51,27.2,0,0,446
