Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,51.50,103,97,0,0.0000,0.00,0.00,0,0,0.34,0.52,35.5,0,0,16
400,49.00,98,102,0,0.0000,0.00,0.00,0,0,0.34,0.34,31.6,0,0,28
600,49.50,99,101,0,0.0000,0.00,0.00,0,0,0.34,0.23,32.7,0,0,40
800,52.00,104,96,0,0.0000,0.00,0.00,0,0,0.35,0.39,33.0,0,0,53
1000,49.50,99,100,0,0.0000,0.00,0.00,0,0,0.33,0.32,38.2,1,0,67
1200,45.50,91,109,0,0.0000,0.00,0.00,0,0,0.35,0.01,33.0,0,0,79
1400,46.50,93,107,0,0.0000,0.00,0.00,0,0,0.36,0.29,33.5,0,0,92
1600,53.00,106,94,0,0.0000,0.00,0.00,0,0,0.35,0.44,33.1,0,0,104
1800,50.50,101,99,0,0.0000,0.00,0.00,0,0,0.35,0.25,34.3,0,0,117
2000,45.50,91,109,0,0.0000,0.00,0.00,0,0,0.35,0.06,34.8,0,0,130
