Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,53.00,530,470,16084,0.3990,2.45,21.16,-415,0,0.59,2.54,33.1,0,5589,90
2000,51.40,514,486,26788,0.3980,2.97,25.12,-447,0,0.61,2.52,33.7,0,9311,183
3000,52.20,522,478,35859,0.3970,3.34,27.18,-409,0,0.62,2.54,33.6,0,12473,276
4000,55.80,558,442,43729,0.3960,3.68,28.89,-293,0,0.60,2.65,34.6,1,15207,377
5000,54.70,547,453,50864,0.3950,3.99,30.09,-341,0,0.65,2.61,35.7,1,17677,481
6000,53.60,536,464,57256,0.3940,4.23,31.16,-360,0,0.65,2.63,33.3,0,19890,580
7000,54.00,540,460,62941,0.3930,4.48,32.05,-323,0,0.63,2.75,33.1,0,21859,671
8000,57.10,571,429,68344,0.3920,4.72,32.94,-251,0,0.59,2.69,34.3,0,23732,773
9000,54.50,545,455,73342,0.3910,4.96,33.62,-318,0,0.74,2.69,34.7,1,25463,913
10000,56.00,560,440,78229,0.3900,5.16,34.26,-287,0,0.62,2.68,34.2,0,27154,1021
