Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,38.00,380,620,702381,0.3510,32.01,0.209967,3.818,0.0038,11.3,12915,-529,0,1.29,2.63,30.8,0,275669,133
2000,36.60,366,634,709049,0.3503,32.22,0.212675,2.791,0.0040,11.4,13149,-555,0,1.27,2.68,31.3,0,278384,273
3000,38.10,381,619,715657,0.3496,32.41,0.210614,2.771,0.0036,11.6,13373,-519,0,1.31,2.71,31.3,0,281077,413
4000,37.20,372,628,722174,0.3489,32.60,0.205759,2.611,0.0030,11.7,13607,-544,0,1.28,2.64,31.6,0,283733,554
5000,36.50,365,635,728734,0.3482,32.81,0.203487,3.004,0.0035,11.9,13839,-577,0,1.30,2.65,32.2,0,286405,696
6000,37.80,378,622,735301,0.3476,33.05,0.205533,2.865,0.0032,12.0,14121,-543,0,1.32,2.60,31.9,0,289081,838
7000,34.70,347,653,741668,0.3469,33.25,0.200852,2.848,0.0033,12.0,14372,-622,0,1.27,2.63,31.6,0,291683,980
8000,37.40,374,626,747992,0.3462,33.42,0.204906,3.220,0.0032,12.1,14595,-544,0,1.29,2.71,30.8,0,294261,1120
9000,37.70,377,623,754346,0.3455,33.62,0.198867,3.240,0.0036,12.2,14840,-536,0,1.28,2.58,31.9,0,296858,1264
10000,37.80,378,622,760636,0.3448,33.88,0.187269,3.165,0.0038,12.5,15101,-536,0,1.23,2.73,31.5,0,299431,1410
