Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,69.20,692,308,376479,0.0782,10.67,44.00,130,0,0.34,3.41,34.1,0,142860,77
2000,68.00,680,320,377888,0.0739,10.73,44.07,76,0,0.34,3.29,34.4,0,143413,154
3000,69.90,699,301,379297,0.0696,10.80,44.13,137,0,0.34,3.36,35.2,1,143966,235
4000,71.30,713,287,380616,0.0651,10.86,44.18,196,0,0.43,3.46,34.4,0,144484,313
5000,69.20,692,308,381955,0.0606,10.93,44.24,118,0,0.34,3.34,36.3,1,145010,395
6000,68.20,682,318,383353,0.0563,11.00,44.30,105,0,0.34,3.38,35.5,1,145559,473
7000,69.10,691,309,384729,0.0520,11.06,44.37,131,0,0.34,3.44,35.0,0,146099,558
8000,68.70,687,313,386091,0.0500,11.13,44.44,107,0,0.33,3.33,37.7,2,146634,644
9000,72.50,725,275,387374,0.0500,11.21,44.50,232,0,0.99,3.48,37.8,2,147137,750
10000,68.30,683,317,388691,0.0500,11.28,44.58,119,0,0.34,3.39,37.9,1,147654,863
