Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,36.00,360,640,21890,0.3993,1.37,-1.000000,-1.000,-1.0000,3.1,12,-612,0,0.78,2.46,29.6,0,7710,79
2000,33.70,337,663,40330,0.3986,2.74,0.628815,33.861,0.0582,5.6,49,-676,0,0.75,2.45,29.3,0,14202,155
3000,34.50,345,655,57582,0.3979,4.35,0.568416,26.254,0.0200,7.4,118,-656,0,0.75,2.41,30.3,0,20282,233
4000,33.00,330,670,73716,0.3972,5.54,0.542246,41.922,0.0154,6.7,193,-686,0,0.78,2.45,29.7,0,25972,311
5000,34.40,344,656,89247,0.3965,6.82,0.501826,26.776,0.0213,7.3,281,-657,0,0.77,2.37,30.9,0,31440,391
6000,35.80,358,642,103629,0.3959,8.04,0.476778,31.408,0.0190,8.1,390,-615,0,0.74,2.46,30.1,0,36501,469
7000,35.30,353,647,117329,0.3952,9.02,0.469307,25.921,0.0164,8.0,502,-642,0,0.80,2.50,29.2,0,41320,546
8000,35.60,356,644,130939,0.3945,10.02,0.443380,23.599,0.0134,8.1,624,-636,0,0.75,2.48,30.7,0,46110,627
9000,35.80,358,642,144049,0.3938,10.79,0.430825,23.201,0.0161,8.9,730,-620,0,0.74,2.49,30.4,0,50722,707
10000,34.30,343,657,156519,0.3931,11.66,0.408544,18.587,0.0163,9.8,861,-657,0,0.75,2.41,30.5,0,55111,788
11000,40.60,406,594,168120,0.3924,12.51,0.402059,19.531,0.0160,11.0,999,-492,0,0.75,2.49,28.8,0,59728,76
12000,41.70,417,583,179585,0.3917,13.24,0.387724,19.384,0.0179,11.6,1126,-454,0,0.76,2.52,29.5,0,64294,153
13000,43.60,436,564,190976,0.3910,14.14,0.375755,16.816,0.0164,12.4,1306,-397,0,0.77,2.51,30.3,0,68832,232
14000,40.10,401,599,201699,0.3903,14.92,0.362435,15.781,0.0160,13.0,1460,-496,0,0.76,2.48,29.6,0,73102,311
15000,39.90,399,601,211974,0.3896,15.54,0.353725,14.732,0.0150,13.6,1597,-503,0,0.76,2.43,29.0,0,77193,389
16000,40.50,405,595,222437,0.3890,16.25,0.354618,11.865,0.0142,14.3,1769,-497,0,0.76,2.50,29.5,0,81352,468
17000,39.80,398,602,232425,0.3883,16.84,0.343999,14.298,0.0159,14.8,1920,-507,0,0.75,2.50,29.0,0,85322,546
18000,43.10,431,569,242126,0.3876,17.53,0.324600,12.745,0.0141,15.2,2101,-410,0,0.79,2.50,29.8,0,89179,625
19000,40.70,407,593,251505,0.3869,18.10,0.320070,12.364,0.0144,16.5,2266,-481,0,0.75,2.45,29.3,0,92902,703
20000,40.80,408,592,260898,0.3862,18.70,0.317535,10.623,0.0154,17.3,2438,-468,0,0.80,2.42,29.6,0,96635,780
21000,40.50,405,595,270501,0.3855,19.11,0.324470,11.485,0.0157,18.2,2587,-482,0,0.76,2.48,29.5,0,100450,79
22000,43.50,435,565,279934,0.3848,19.62,0.313514,9.661,0.0157,19.2,2766,-411,0,0.75,2.52,30.1,0,104200,158
23000,41.10,411,589,289049,0.3841,20.13,0.308920,10.483,0.0158,20.3,2949,-466,0,0.76,2.48,29.4,0,107824,237
24000,38.50,385,615,297832,0.3834,20.71,0.296904,8.481,0.0167,20.5,3153,-542,0,0.78,2.44,29.6,0,111316,317
25000,40.20,402,598,306619,0.3827,21.21,0.295203,7.702,0.0138,21.2,3351,-499,0,0.80,2.46,29.7,0,114810,397
26000,40.70,407,593,315576,0.3821,21.64,0.295416,9.573,0.0159,21.7,3521,-478,0,0.76,2.48,30.3,0,118374,479
27000,42.10,421,579,324090,0.3814,22.23,0.274592,9.707,0.0155,22.2,3750,-441,0,0.75,2.47,31.0,0,121763,562
28000,39.50,395,605,332340,0.3807,22.70,0.287256,8.082,0.0168,23.3,3941,-513,0,0.76,2.49,28.7,0,125042,641
29000,40.80,408,592,340668,0.3800,23.17,0.280480,7.799,0.0139,23.7,4153,-482,0,0.76,2.43,29.7,0,128353,720
30000,41.70,417,583,348718,0.3793,23.59,0.274716,7.565,0.0141,24.3,4344,-457,0,0.76,2.48,29.3,0,131553,800
31000,40.60,406,594,356606,0.3786,24.06,0.265777,7.645,0.0169,25.1,4565,-480,0,0.78,2.57,29.6,0,134685,80
32000,37.30,373,627,364513,0.3779,24.44,0.263655,7.879,0.0146,25.8,4763,-557,0,0.75,2.48,30.0,0,137832,159
33000,41.00,410,590,372488,0.3772,24.88,0.262232,6.930,0.0143,26.1,4977,-468,0,0.77,2.52,30.4,0,141003,242
34000,39.30,393,607,380257,0.3765,25.27,0.262457,6.145,0.0151,26.8,5180,-510,0,0.80,2.45,29.6,0,144092,323
35000,45.10,451,549,387884,0.3758,25.62,0.254939,6.154,0.0147,27.2,5370,-360,0,0.78,2.63,29.9,0,147127,404
36000,40.50,405,595,395406,0.3752,25.98,0.253839,6.221,0.0157,27.4,5573,-471,0,0.84,2.59,29.6,0,150117,485
37000,41.20,412,588,402823,0.3745,26.35,0.249202,6.276,0.0137,28.0,5774,-471,0,0.76,2.63,29.7,0,153068,568
38000,41.50,415,585,410262,0.3738,26.66,0.249121,6.989,0.0154,28.3,5962,-453,0,0.76,2.55,29.8,0,156027,649
39000,38.70,387,613,417628,0.3731,27.03,0.247156,6.722,0.0147,28.8,6182,-524,0,0.82,2.52,29.8,0,158956,730
40000,41.40,414,586,424968,0.3724,27.44,0.243611,5.870,0.0134,29.4,6425,-457,0,0.76,2.48,30.1,0,161876,815
41000,44.10,441,559,432291,0.3717,27.84,0.237213,6.367,0.0151,29.6,6670,-393,0,0.76,2.52,30.8,0,164787,82
42000,40.90,409,591,439324,0.3710,28.27,0.229372,5.733,0.0143,29.9,6924,-469,0,0.76,2.53,30.6,0,167584,165
43000,43.50,435,565,446391,0.3703,28.62,0.236165,5.440,0.0150,30.5,7134,-409,0,0.79,2.58,29.9,0,170397,247
44000,44.50,445,555,453596,0.3696,28.97,0.230929,6.290,0.0142,30.9,7367,-379,0,0.76,2.53,31.2,0,173262,332
45000,42.70,427,573,460534,0.3689,29.34,0.224458,4.680,0.0148,31.4,7618,-430,0,0.79,2.54,30.9,0,176027,416
46000,42.30,423,577,466890,0.3683,29.68,0.217918,5.271,0.0132,31.8,7841,-429,0,0.77,2.61,29.1,0,178557,499
47000,45.00,450,550,473328,0.3676,30.06,0.212693,5.125,0.0161,32.6,8094,-366,0,0.75,2.58,30.2,0,181123,581
48000,43.30,433,567,480080,0.3669,30.36,0.224632,4.571,0.0149,32.9,8324,-402,0,0.76,2.61,30.0,0,183808,664
49000,47.70,477,523,486904,0.3662,30.70,0.221013,4.953,0.0155,33.2,8568,-301,0,0.76,2.60,30.8,0,186518,748
50000,47.60,476,524,493301,0.3655,31.08,0.203713,5.096,0.0145,33.7,8809,-292,0,0.81,2.65,30.6,0,189062,833
51000,39.10,391,609,499722,0.3648,31.39,0.215730,5.987,0.0174,34.0,9044,-519,0,0.77,2.63,29.7,0,191618,80
52000,42.10,421,579,506072,0.3641,31.68,0.208559,4.560,0.0155,34.8,9264,-437,0,0.78,2.60,30.3,0,194145,161
53000,38.20,382,618,512351,0.3634,31.93,0.213622,4.252,0.0136,35.1,9466,-534,0,0.76,2.59,29.4,0,196642,242
54000,36.80,368,632,518692,0.3627,32.25,0.208079,4.916,0.0134,35.5,9713,-579,0,0.75,2.63,30.4,0,199163,324
55000,37.40,374,626,524835,0.3620,32.56,0.203998,4.376,0.0137,36.0,9958,-552,0,0.75,2.58,30.1,0,201607,406
56000,38.70,387,613,531186,0.3614,32.85,0.207841,3.609,0.0131,36.2,10216,-525,0,0.77,2.65,30.5,0,204134,491
57000,41.60,416,584,537294,0.3607,33.14,0.203221,4.118,0.0140,36.3,10454,-447,0,0.75,2.67,30.0,0,206565,574
58000,40.90,409,591,543531,0.3600,33.42,0.208721,3.666,0.0137,36.7,10706,-472,0,0.76,2.63,29.8,0,209048,656
59000,40.40,404,596,549607,0.3593,33.70,0.196953,4.292,0.0136,37.1,10941,-490,0,0.81,2.57,30.8,0,211466,740
60000,41.70,417,583,555646,0.3586,34.02,0.192632,3.930,0.0128,37.2,11209,-443,0,0.73,2.65,31.3,1,213867,826
61000,45.40,454,546,561472,0.3579,34.27,0.193240,3.731,0.0143,37.8,11432,-346,0,0.78,2.55,30.1,0,216187,81
