Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,38.80,388,612,827697,0.3373,35.83,0.190073,2.819,0.0044,13.9,17814,-503,0,1.28,2.62,31.0,0,324402,136
2000,40.00,400,600,833461,0.3367,35.98,0.183287,2.626,0.0038,14.1,18023,-467,0,1.27,2.73,31.4,0,324402,271
3000,39.10,391,609,839252,0.3362,36.16,0.184298,2.537,0.0034,14.3,18293,-501,0,1.29,2.67,31.4,0,324402,405
4000,39.10,391,609,845020,0.3356,36.33,0.186251,2.708,0.0035,14.4,18545,-494,0,1.24,2.67,30.9,0,324402,532
5000,39.60,396,604,850806,0.3350,36.47,0.188777,2.738,0.0034,14.5,18771,-484,0,0.97,2.62,30.6,0,336272,639
6000,40.00,400,600,856567,0.3344,36.63,0.188293,2.630,0.0034,14.6,19015,-463,0,1.28,2.56,30.6,0,336272,770
7000,40.00,400,600,862560,0.3338,36.77,0.188934,2.281,0.0034,14.8,19245,-466,0,1.29,2.74,31.7,0,336272,907
8000,38.70,387,613,868324,0.3333,36.92,0.184572,2.382,0.0037,15.1,19474,-499,0,1.27,2.68,31.2,0,336272,1044
9000,42.20,422,578,874245,0.3327,37.05,0.187926,2.671,0.0036,15.2,19711,-415,0,1.29,2.67,31.5,0,336272,1182
10000,39.20,392,608,879903,0.3321,37.23,0.179562,2.348,0.0040,15.4,20001,-493,0,1.28,2.64,31.5,0,348167,1323
