Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,61.50,615,385,1018603,0.2889,49.35,0.100228,1.438,0.0164,78.4,34578,101,0,0.42,2.87,28.9,0,398649,72
2000,61.40,614,386,1021572,0.2882,49.47,0.101276,0.811,0.0124,79.4,34810,93,0,0.44,2.88,29.3,0,399828,147
3000,63.30,633,367,1024528,0.2875,49.59,0.100051,0.927,0.0120,80.1,35044,144,0,0.42,2.87,29.5,0,401009,223
4000,64.30,643,357,1027463,0.2868,49.72,0.101561,0.875,0.0121,80.9,35280,173,0,0.45,2.89,28.9,0,402179,297
5000,61.40,614,386,1030292,0.2861,49.85,0.096870,0.872,0.0115,81.6,35518,96,0,0.42,2.84,29.2,0,403307,372
6000,60.80,608,392,1033171,0.2855,49.97,0.097865,0.731,0.0118,82.3,35742,76,0,0.47,2.78,29.4,0,404455,448
7000,60.90,609,391,1036028,0.2848,50.07,0.098476,1.002,0.0114,82.9,35948,86,0,0.47,2.78,29.0,0,405596,524
8000,62.80,628,372,1038761,0.2841,50.20,0.092918,0.831,0.0119,83.6,36201,130,0,0.47,2.85,29.4,0,406688,600
9000,64.40,644,356,1041481,0.2834,50.32,0.094461,0.594,0.0108,84.1,36425,173,0,0.43,2.82,28.8,0,407773,676
10000,64.00,640,360,1044228,0.2827,50.45,0.093188,0.667,0.0114,84.9,36671,161,0,0.42,2.86,29.5,0,408870,752
