Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,20.10,201,799,24462,0.3993,4.57,-1.000000,-1.000,-1.0000,3.4,20,-1008,0,0.46,2.54,33.1,1,8540,96
2000,18.80,188,812,45659,0.3986,4.10,0.658190,10.696,0.0070,2.8,56,-1043,0,0.49,2.56,32.1,0,15941,191
3000,19.80,198,802,65011,0.3979,5.09,0.605034,23.417,0.0039,2.7,127,-1023,0,0.49,2.63,31.9,0,22708,288
4000,19.40,194,806,82065,0.3972,5.98,0.554115,24.875,0.0059,2.4,196,-1028,0,0.48,2.62,30.7,0,28677,382
5000,20.80,208,792,98930,0.3965,7.08,0.523823,13.842,0.0039,2.6,301,-991,0,0.46,2.56,32.1,0,34590,476
6000,20.40,204,796,114856,0.3959,7.81,0.503557,13.761,0.0022,2.4,390,-999,0,0.46,2.54,31.6,0,40170,558
7000,21.70,217,783,130281,0.3952,8.54,0.485002,14.661,0.0050,2.9,487,-971,0,0.42,2.57,31.7,0,45581,642
8000,21.60,216,784,145515,0.3945,9.31,0.468018,11.918,0.0023,2.8,604,-972,0,0.49,2.54,32.5,0,50929,742
9000,23.30,233,767,160262,0.3938,9.99,0.460945,11.688,0.0022,2.6,722,-921,0,0.52,2.57,32.0,0,56106,847
10000,20.30,203,797,173883,0.3931,10.75,0.434371,11.972,0.0031,2.6,855,-998,0,0.55,2.69,31.3,0,60904,940
11000,20.90,209,791,187440,0.3924,11.62,0.424758,11.257,0.0028,2.6,1011,-984,0,0.43,2.60,31.9,0,66338,84
12000,21.70,217,783,201070,0.3917,12.24,0.419024,11.625,0.0026,2.8,1142,-958,0,0.43,2.54,32.5,0,71802,169
13000,25.50,255,745,214011,0.3910,12.80,0.399895,11.877,0.0035,2.7,1268,-868,0,0.43,2.57,32.3,0,76994,255
14000,23.60,236,764,227132,0.3903,13.30,0.406462,10.840,0.0032,2.8,1402,-918,0,0.48,2.67,32.2,0,82258,341
15000,24.70,247,753,239621,0.3896,13.75,0.390904,10.173,0.0027,2.9,1527,-887,0,0.46,2.60,31.9,0,87266,427
16000,23.10,231,769,251706,0.3890,14.39,0.372476,9.362,0.0027,3.1,1706,-932,0,0.43,2.57,32.4,0,92119,514
17000,23.10,231,769,263415,0.3883,14.91,0.362048,7.761,0.0026,3.2,1863,-934,0,0.43,2.62,32.3,0,96830,600
18000,23.70,237,763,275103,0.3876,15.46,0.354924,7.395,0.0022,3.2,2048,-917,0,0.43,2.56,32.9,0,101533,690
19000,25.50,255,745,286830,0.3869,15.95,0.364566,7.545,0.0024,3.3,2222,-859,0,0.44,2.52,32.1,0,106262,777
20000,24.90,249,751,298045,0.3862,16.45,0.344822,6.606,0.0023,3.4,2396,-880,0,0.43,2.50,32.5,0,110791,865
21000,23.70,237,763,308882,0.3855,16.96,0.336469,8.059,0.0030,3.5,2583,-917,0,0.43,2.60,32.2,0,115171,85
22000,23.30,233,767,319640,0.3848,17.45,0.340368,7.391,0.0020,3.5,2764,-919,0,0.46,2.55,31.5,0,119503,171
23000,24.00,240,760,330476,0.3841,17.87,0.341302,5.823,0.0024,3.6,2942,-906,0,0.44,2.60,31.7,0,123874,257
24000,23.20,232,768,341120,0.3834,18.32,0.328600,5.858,0.0022,3.8,3121,-917,0,0.44,2.53,32.4,0,128166,345
25000,20.80,208,792,351400,0.3827,18.74,0.317549,5.762,0.0021,3.8,3308,-975,0,0.44,2.55,32.3,0,132313,435
26000,23.30,233,767,361882,0.3821,19.17,0.318128,5.718,0.0022,3.9,3516,-915,0,0.43,2.50,32.9,0,136553,525
27000,23.80,238,762,372064,0.3814,19.62,0.312513,5.732,0.0024,4.0,3714,-902,0,0.43,2.55,32.5,0,140668,615
28000,24.30,243,757,382011,0.3807,20.03,0.313173,5.519,0.0020,4.1,3916,-893,0,0.44,2.50,31.7,0,144678,703
29000,25.40,254,746,391703,0.3800,20.38,0.306913,4.953,0.0019,4.2,4102,-863,0,0.44,2.59,31.5,0,148600,790
30000,27.20,272,728,401986,0.3793,20.71,0.307386,4.960,0.0022,4.2,4290,-820,0,0.43,2.57,33.4,0,152763,884
31000,26.50,265,735,412237,0.3786,21.09,0.304881,4.820,0.0024,4.3,4496,-834,0,0.43,2.58,33.6,0,156919,88
32000,24.90,249,751,421878,0.3779,21.51,0.293343,5.015,0.0026,4.4,4723,-864,0,0.45,2.57,32.8,0,160834,178
33000,26.00,260,740,431216,0.3772,21.83,0.287810,4.476,0.0020,4.5,4911,-839,0,0.45,2.51,32.4,0,164615,265
34000,25.20,252,748,440629,0.3765,22.15,0.288769,4.447,0.0022,4.6,5114,-861,0,0.47,2.48,32.5,0,168439,355
35000,27.40,274,726,450118,0.3758,22.54,0.291109,3.753,0.0019,4.7,5357,-811,0,0.47,2.52,32.5,0,172317,446
36000,25.80,258,742,459541,0.3752,22.90,0.284151,4.754,0.0024,4.8,5585,-845,0,0.44,2.47,33.1,0,176147,538
37000,27.40,274,726,468731,0.3745,23.26,0.273716,4.678,0.0026,5.0,5819,-814,0,0.43,2.54,33.5,0,179892,631
38000,24.00,240,760,477570,0.3738,23.57,0.278052,4.425,0.0022,5.1,6028,-898,0,0.43,2.48,31.7,0,183485,720
39000,26.40,264,736,486385,0.3731,23.93,0.271892,3.960,0.0022,5.2,6268,-837,0,0.43,2.53,32.4,0,187069,809
40000,25.50,255,745,495124,0.3724,24.29,0.270407,3.782,0.0020,5.3,6510,-862,0,0.50,2.52,32.3,0,190629,900
41000,27.50,275,725,503842,0.3717,24.61,0.270007,4.038,0.0024,5.4,6741,-800,0,0.43,2.48,32.2,0,194173,86
