Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,27.90,279,721,587729,0.3649,27.33,0.245180,3.186,0.0023,6.1,9006,-791,0,0.60,2.54,33.0,0,225078,119
2000,26.90,269,731,595545,0.3643,27.62,0.235628,3.401,0.0021,6.2,9242,-814,0,0.60,2.56,33.1,0,225078,235
3000,28.20,282,718,603464,0.3638,27.89,0.242616,3.278,0.0020,6.3,9489,-783,0,0.60,2.59,32.6,0,225078,351
4000,27.90,279,721,611191,0.3632,28.18,0.237046,3.707,0.0021,6.4,9759,-795,0,0.48,2.59,32.6,0,225078,436
5000,29.80,298,702,619012,0.3626,28.38,0.244437,3.415,0.0020,6.4,9973,-739,0,0.44,2.50,31.9,0,241184,515
6000,31.00,310,690,626928,0.3620,28.63,0.241099,2.942,0.0020,6.5,10221,-726,0,0.40,2.50,32.8,0,241184,592
7000,29.00,290,710,634876,0.3614,28.91,0.240819,3.320,0.0022,6.6,10487,-761,0,0.46,2.53,33.0,0,241184,684
8000,28.00,280,720,642335,0.3609,29.14,0.228719,3.732,0.0020,6.6,10720,-792,0,0.61,2.57,32.6,0,241184,801
9000,27.10,271,729,649824,0.3603,29.39,0.231449,3.277,0.0023,6.7,10979,-808,0,0.60,2.48,32.3,0,241184,920
10000,28.80,288,712,657553,0.3597,29.66,0.231650,2.958,0.0020,6.8,11258,-761,0,0.67,2.57,33.3,0,256886,1046
