Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,80.00,160,40,0,0.0000,0.00,0.00,0,0,1.05,2.56,26.0,0,0,20
400,81.00,162,38,0,0.0000,0.00,0.00,0,0,1.09,2.42,26.2,0,0,38
600,83.50,167,33,0,0.0000,0.00,0.00,0,0,1.12,2.81,25.6,0,0,55
800,81.00,162,38,0,0.0000,0.00,0.00,0,0,1.08,2.48,27.6,0,0,73
1000,88.00,176,24,0,0.0000,0.00,0.00,0,0,1.23,2.85,25.4,0,0,94
1200,79.50,159,41,0,0.0000,0.00,0.00,0,0,1.39,2.44,24.9,0,0,119
1400,83.50,167,33,0,0.0000,0.00,0.00,0,0,1.35,2.52,25.1,0,0,142
1600,83.00,166,34,0,0.0000,0.00,0.00,0,0,1.16,2.65,26.7,0,0,161
1800,79.50,159,41,0,0.0000,0.00,0.00,0,0,1.11,2.42,24.6,0,0,179
2000,76.00,152,48,0,0.0000,0.00,0.00,0,0,1.28,2.29,25.2,0,0,199
2200,76.50,153,47,0,0.0000,0.00,0.00,0,0,1.30,2.44,26.2,0,0,220
2400,77.50,155,45,0,0.0000,0.00,0.00,0,0,1.11,2.40,26.0,0,0,240
2600,84.00,168,32,0,0.0000,0.00,0.00,0,0,1.03,2.73,23.5,0,0,256
2800,77.00,154,46,0,0.0000,0.00,0.00,0,0,1.06,2.42,24.0,0,0,272
3000,77.00,154,46,0,0.0000,0.00,0.00,0,0,1.06,2.26,25.8,0,0,290
3200,87.00,174,26,0,0.0000,0.00,0.00,0,0,1.06,2.73,26.2,0,0,307
3400,75.00,150,50,0,0.0000,0.00,0.00,0,0,1.08,2.25,27.2,0,0,325
3600,79.50,159,41,0,0.0000,0.00,0.00,0,0,1.04,2.46,24.7,0,0,341
3800,81.00,162,38,0,0.0000,0.00,0.00,0,0,1.04,2.52,25.2,0,0,358
4000,84.50,169,31,0,0.0000,0.00,0.00,0,0,1.04,2.48,25.2,0,0,375
4200,81.50,163,37,0,0.0000,0.00,0.00,0,0,1.04,2.48,27.2,0,0,392
4400,81.00,162,38,0,0.0000,0.00,0.00,0,0,1.07,2.76,23.8,0,0,408
4600,85.50,171,29,0,0.0000,0.00,0.00,0,0,1.04,2.60,26.4,0,0,425
4800,85.50,171,29,0,0.0000,0.00,0.00,0,0,0.89,2.77,24.7,0,0,438
5000,83.50,167,33,0,0.0000,0.00,0.00,0,0,0.93,2.52,26.6,0,0,453
5200,74.00,148,52,0,0.0000,0.00,0.00,0,0,0.88,2.17,26.6,0,0,467
5400,84.50,169,31,0,0.0000,0.00,0.00,0,0,0.92,2.55,25.7,0,0,482
5600,82.00,164,36,0,0.0000,0.00,0.00,0,0,0.92,2.58,25.3,0,0,496
5800,83.00,166,34,0,0.0000,0.00,0.00,0,0,0.92,2.60,24.7,0,0,510
6000,80.00,160,40,0,0.0000,0.00,0.00,0,0,0.93,2.48,26.9,0,0,524
6200,85.50,171,29,0,0.0000,0.00,0.00,0,0,0.92,2.63,25.9,0,0,538
6400,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.90,2.45,25.5,0,0,552
6600,80.00,160,40,0,0.0000,0.00,0.00,0,0,0.98,2.42,25.1,0,0,567
6800,81.50,163,37,0,0.0000,0.00,0.00,0,0,0.91,2.54,27.0,0,0,581
7000,78.50,157,43,0,0.0000,0.00,0.00,0,0,0.93,2.28,27.8,0,0,596
7200,81.50,163,37,0,0.0000,0.00,0.00,0,0,0.89,2.46,27.4,0,0,611
7400,85.50,171,29,0,0.0000,0.00,0.00,0,0,0.92,2.69,26.3,0,0,626
7600,79.50,159,41,0,0.0000,0.00,0.00,0,0,0.90,2.60,25.4,0,0,639
7800,79.50,159,41,0,0.0000,0.00,0.00,0,0,0.90,2.48,25.4,0,0,654
8000,81.00,162,38,0,0.0000,0.00,0.00,0,0,0.92,2.57,25.7,0,0,668
8200,80.50,161,39,0,0.0000,0.00,0.00,0,0,0.93,2.45,26.0,0,0,682
8400,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.92,2.21,26.3,0,0,697
8600,81.50,163,37,0,0.0000,0.00,0.00,0,0,0.91,2.42,25.9,0,0,711
8800,83.50,167,33,0,0.0000,0.00,0.00,0,0,0.90,2.69,25.4,0,0,725
9000,83.50,167,33,0,0.0000,0.00,0.00,0,0,0.91,2.69,27.1,0,0,739
9200,85.50,171,29,0,0.0000,0.00,0.00,0,0,0.91,2.63,24.9,0,0,753
9400,83.50,167,33,0,0.0000,0.00,0.00,0,0,0.90,2.64,26.3,0,0,767
9600,80.50,161,39,0,0.0000,0.00,0.00,0,0,0.93,2.57,26.9,0,0,782
9800,80.00,160,40,0,0.0000,0.00,0.00,0,0,0.91,2.46,25.7,0,0,797
10000,81.00,162,38,0,0.0000,0.00,0.00,0,0,0.93,2.50,25.2,0,0,811
