Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
200,73.50,147,53,0,0.0000,0.00,0.00,0,0,1.03,1.98,26.4,0,0,17
400,77.50,155,45,0,0.0000,0.00,0.00,0,0,1.06,2.37,23.7,0,0,30
600,72.50,145,55,0,0.0000,0.00,0.00,0,0,1.02,2.04,25.8,0,0,44
800,79.50,159,41,0,0.0000,0.00,0.00,0,0,1.02,2.44,25.7,0,0,57
1000,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.95,2.23,25.8,0,0,70
1200,75.00,150,50,0,0.0000,0.00,0.00,0,0,1.07,2.14,26.1,0,0,84
1400,76.50,153,47,0,0.0000,0.00,0.00,0,0,1.08,2.29,25.7,0,0,99
1600,73.50,147,53,0,0.0000,0.00,0.00,0,0,1.05,2.13,24.1,0,0,112
1800,73.00,146,54,0,0.0000,0.00,0.00,0,0,1.03,2.10,25.7,0,0,126
2000,76.50,153,47,0,0.0000,0.00,0.00,0,0,1.04,2.31,27.1,0,0,141
2200,74.00,148,52,0,0.0000,0.00,0.00,0,0,1.04,2.02,24.9,0,0,155
2400,75.50,151,49,0,0.0000,0.00,0.00,0,0,1.03,2.03,26.3,0,0,169
2600,71.50,143,57,0,0.0000,0.00,0.00,0,0,1.04,2.00,25.2,0,0,183
2800,74.50,149,51,0,0.0000,0.00,0.00,0,0,1.04,2.15,25.0,0,0,197
3000,71.50,143,57,0,0.0000,0.00,0.00,0,0,1.02,2.08,26.7,0,0,211
3200,74.00,148,52,0,0.0000,0.00,0.00,0,0,1.01,2.15,24.3,0,0,225
3400,72.50,145,55,0,0.0000,0.00,0.00,0,0,0.95,2.06,25.6,0,0,238
3600,69.50,139,61,0,0.0000,0.00,0.00,0,0,0.77,2.12,25.6,0,0,254
3800,73.00,146,54,0,0.0000,0.00,0.00,0,0,1.03,2.05,25.8,0,0,268
4000,77.00,154,46,0,0.0000,0.00,0.00,0,0,1.01,2.12,25.3,0,0,281
4200,73.50,147,53,0,0.0000,0.00,0.00,0,0,0.82,2.05,26.8,0,0,293
4400,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.98,2.25,24.5,0,0,307
4600,70.50,141,59,0,0.0000,0.00,0.00,0,0,0.97,1.94,25.5,0,0,320
4800,71.50,143,57,0,0.0000,0.00,0.00,0,0,0.89,2.12,25.9,0,0,335
5000,72.50,145,55,0,0.0000,0.00,0.00,0,0,0.98,2.13,24.6,0,0,349
5200,75.50,151,49,0,0.0000,0.00,0.00,0,0,0.94,2.10,26.6,0,0,362
5400,68.00,136,64,0,0.0000,0.00,0.00,0,0,0.96,1.79,26.6,0,0,376
5600,74.00,148,52,0,0.0000,0.00,0.00,0,0,1.00,2.15,24.0,0,0,388
5800,71.00,142,58,0,0.0000,0.00,0.00,0,0,0.94,2.06,25.4,0,0,402
6000,71.50,143,57,0,0.0000,0.00,0.00,0,0,0.99,2.15,25.9,0,0,416
6200,74.00,148,52,0,0.0000,0.00,0.00,0,0,0.95,2.04,26.6,0,0,429
6400,72.50,145,55,0,0.0000,0.00,0.00,0,0,0.99,2.12,24.2,0,0,442
6600,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.96,1.98,25.1,0,0,455
6800,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.97,2.29,25.1,0,0,467
7000,78.00,156,44,0,0.0000,0.00,0.00,0,0,0.98,2.44,25.2,0,0,481
7200,76.50,153,47,0,0.0000,0.00,0.00,0,0,0.97,2.25,25.5,0,0,494
7400,76.00,152,48,0,0.0000,0.00,0.00,0,0,1.02,2.14,25.8,0,0,507
7600,74.50,149,51,0,0.0000,0.00,0.00,0,0,0.99,2.27,25.2,0,0,521
7800,79.50,159,41,0,0.0000,0.00,0.00,0,0,1.01,2.38,25.6,0,0,535
8000,79.00,158,42,0,0.0000,0.00,0.00,0,0,0.74,2.17,27.5,0,0,546
8200,71.50,143,57,0,0.0000,0.00,0.00,0,0,0.74,1.99,24.2,0,0,556
8400,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.91,2.13,26.3,0,0,569
8600,73.00,146,54,0,0.0000,0.00,0.00,0,0,1.08,2.03,26.7,0,0,585
8800,81.00,162,38,0,0.0000,0.00,0.00,0,0,1.09,2.29,25.5,0,0,600
9000,83.00,166,34,0,0.0000,0.00,0.00,0,0,1.06,2.57,25.6,0,0,615
9200,73.50,147,53,0,0.0000,0.00,0.00,0,0,0.98,2.29,25.2,0,0,628
9400,70.50,141,59,0,0.0000,0.00,0.00,0,0,0.81,1.93,25.9,0,0,644
9600,72.00,144,56,0,0.0000,0.00,0.00,0,0,1.01,2.02,26.1,0,0,659
9800,77.50,155,45,0,0.0000,0.00,0.00,0,0,0.77,2.33,24.9,0,0,669
10000,77.00,154,46,0,0.0000,0.00,0.00,0,0,0.77,2.40,24.2,0,0,680
