Batalhas,WinRate_Bloco,Epsilon,Avg_Reward_Bloco
100,18.0,0.04996170339735633,-230.0
200,30.0,0.04996170339735633,-50.0
300,22.0,0.04996170339735633,-170.0
400,28.000000000000004,0.04996170339735633,-80.0
500,19.0,0.04996170339735633,-215.0
600,15.0,0.04996170339735633,-275.0
700,16.0,0.04996170339735633,-260.0
800,15.0,0.04996170339735633,-275.0
900,20.0,0.04996170339735633,-200.0
1000,22.0,0.04996170339735633,-170.0
1100,23.0,0.04996170339735633,-155.0
1200,21.0,0.04996170339735633,-185.0
1300,20.0,0.04996170339735633,-200.0
1400,18.0,0.04996170339735633,-230.0
1500,28.000000000000004,0.04996170339735633,-80.0
1600,18.0,0.04996170339735633,-230.0
1700,30.0,0.04996170339735633,-50.0
1800,21.0,0.04996170339735633,-185.0
1900,21.0,0.04996170339735633,-185.0
2000,23.0,0.04996170339735633,-155.0
2100,20.0,0.04996170339735633,-200.0
2200,19.0,0.04996170339735633,-215.0
2300,20.0,0.04996170339735633,-200.0
2400,26.0,0.04996170339735633,-110.0
2500,18.0,0.04996170339735633,-230.0
2600,21.0,0.04996170339735633,-185.0
2700,16.0,0.04996170339735633,-260.0
2800,19.0,0.04996170339735633,-215.0
2900,17.0,0.04996170339735633,-245.0
3000,22.0,0.04996170339735633,-170.0
3100,15.0,0.04996170339735633,-275.0
3200,19.0,0.04996170339735633,-215.0
3300,23.0,0.04996170339735633,-155.0
3400,16.0,0.04996170339735633,-260.0
3500,14.000000000000002,0.04996170339735633,-290.0
3600,21.0,0.04996170339735633,-185.0
3700,16.0,0.04996170339735633,-260.0
3800,20.0,0.04996170339735633,-200.0
3900,25.0,0.04996170339735633,-125.0
4000,28.000000000000004,0.04996170339735633,-80.0
4100,19.0,0.04996170339735633,-215.0
4200,16.0,0.04996170339735633,-260.0
4300,23.0,0.04996170339735633,-155.0
4400,21.0,0.04996170339735633,-185.0
4500,17.0,0.04996170339735633,-245.0
4600,23.0,0.04996170339735633,-155.0
4700,20.0,0.04996170339735633,-200.0
4800,17.0,0.04996170339735633,-245.0
4900,18.0,0.04996170339735633,-230.0
5000,25.0,0.04996170339735633,-125.0
5100,19.0,0.04996170339735633,-215.0
5200,21.0,0.04996170339735633,-185.0
5300,22.0,0.04996170339735633,-170.0
5400,30.0,0.04996170339735633,-50.0
5500,21.0,0.04996170339735633,-185.0
5600,22.0,0.04996170339735633,-170.0
5700,18.0,0.04996170339735633,-230.0
5800,26.0,0.04996170339735633,-110.0
5900,22.0,0.04996170339735633,-170.0
6000,25.0,0.04996170339735633,-125.0
6100,23.0,0.04996170339735633,-155.0
6200,15.0,0.04996170339735633,-275.0
6300,19.0,0.04996170339735633,-215.0
6400,21.0,0.04996170339735633,-185.0
6500,22.0,0.04996170339735633,-170.0
6600,28.999999999999996,0.04996170339735633,-65.0
6700,23.0,0.04996170339735633,-155.0
6800,16.0,0.04996170339735633,-260.0
6900,27.0,0.04996170339735633,-95.0
7000,11.0,0.04996170339735633,-335.0
7100,21.0,0.04996170339735633,-185.0
7200,23.0,0.04996170339735633,-155.0
7300,20.0,0.04996170339735633,-200.0
7400,18.0,0.04996170339735633,-230.0
7500,24.0,0.04996170339735633,-140.0
7600,19.0,0.04996170339735633,-215.0
7700,25.0,0.04996170339735633,-125.0
7800,17.0,0.04996170339735633,-245.0
7900,17.0,0.04996170339735633,-245.0
8000,27.0,0.04996170339735633,-95.0
8100,18.0,0.04996170339735633,-230.0
8200,25.0,0.04996170339735633,-125.0
8300,22.0,0.04996170339735633,-170.0
8400,22.0,0.04996170339735633,-170.0
8500,18.0,0.04996170339735633,-230.0
8600,22.0,0.04996170339735633,-170.0
8700,18.0,0.04996170339735633,-230.0
8800,19.0,0.04996170339735633,-215.0
8900,23.0,0.04996170339735633,-155.0
9000,16.0,0.04996170339735633,-260.0
9100,30.0,0.04996170339735633,-50.0
9200,19.0,0.04996170339735633,-215.0
9300,21.0,0.04996170339735633,-185.0
9400,21.0,0.04996170339735633,-185.0
9500,22.0,0.04996170339735633,-170.0
9600,15.0,0.04996170339735633,-275.0
9700,26.0,0.04996170339735633,-110.0
9800,25.0,0.04996170339735633,-125.0
9900,27.0,0.04996170339735633,-95.0
10000,22.0,0.04996170339735633,-170.0
