Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,52.4,0.397,47850,0,12.85,43.2
1000,45.2,0.394,-63238,0,12.30,41.5
1500,45.8,0.391,-163721,0,11.93,40.4
2000,46.4,0.388,-242906,0,11.57,39.4
2500,47.6,0.385,-300233,0,11.27,38.6
3000,47.8,0.382,-362326,0,10.99,37.8
3500,46.6,0.379,-441954,0,10.75,37.2
4000,46.4,0.376,-527811,0,10.54,36.7
4500,48.2,0.373,-588558,0,10.36,36.3
5000,47.4,0.370,-666836,0,10.23,36.0
5500,47.4,0.367,-731565,0,10.11,35.7
6000,49.0,0.364,-781159,0,9.99,35.5
6500,48.6,0.361,-822478,0,9.88,35.3
7000,46.2,0.358,-917093,0,9.76,35.0
7500,44.6,0.355,-1045095,0,9.65,34.8
8000,47.2,0.352,-1130057,0,9.56,34.7
8500,45.2,0.349,-1282014,0,9.49,34.5
9000,46.6,0.346,-1359528,0,9.43,34.4
9500,45.0,0.343,-1470097,0,9.37,34.3
10000,50.0,0.340,-1508723,0,9.32,34.2
