Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,69.4,0.399,293638,0,1.77,14.9,7033
1000,72.0,0.397,629876,0,2.25,20.5,11280
1500,64.6,0.395,833288,0,2.60,23.2,14973
2000,63.6,0.393,1016326,0,2.91,25.2,17997
2500,65.8,0.390,1236196,0,3.19,26.6,20635
3000,63.8,0.387,1420549,0,3.44,27.9,23100
3500,65.0,0.383,1621638,0,3.67,29.1,25331
4000,71.0,0.380,1934092,0,3.90,30.1,27389
4500,66.0,0.376,2156279,0,4.10,31.1,29198
5000,64.0,0.371,2352049,0,4.31,32.1,30897
5500,68.0,0.367,2606341,0,4.52,32.9,32603
6000,63.6,0.362,2786598,0,4.71,33.5,34108
6500,63.6,0.356,2972879,0,4.91,34.2,35407
7000,62.2,0.351,3128119,0,5.10,34.8,36830
7500,65.0,0.345,3328736,0,5.27,35.3,38210
8000,69.0,0.339,3605774,0,5.44,35.8,39410
8500,65.8,0.333,3825444,0,5.60,36.2,40630
9000,62.0,0.327,3987081,0,5.77,36.6,41796
9500,66.4,0.320,4220689,0,5.92,36.9,43026
10000,66.0,0.313,4450914,0,6.09,37.3,44056
