Batalhas,WinRate_Bloco,Epsilon,Reward
500,55.00000000000001,0.01,584820.0
1000,56.99999999999999,0.01,1227630.0
1500,56.2,0.01,1848390.0
2000,58.599999999999994,0.01,2515380.0
2500,57.599999999999994,0.01,3160920.0
3000,55.60000000000001,0.01,3764330.0
3500,55.00000000000001,0.01,4346480.0
4000,59.4,0.01,5038900.0
4500,56.2,0.01,5673120.0
5000,59.599999999999994,0.01,6357220.0
5500,59.599999999999994,0.01,7061880.0
6000,56.8,0.01,7690250.0
6500,54.0,0.01,8253790.0
7000,58.4,0.01,8923650.0
7500,59.4,0.01,9622730.0
8000,59.8,0.01,10325790.0
8500,59.8,0.01,11018650.0
9000,60.6,0.01,11737470.0
9500,61.0,0.01,12469730.0
10000,62.0,0.01,13220430.0
10500,58.599999999999994,0.01,13895590.0
11000,58.199999999999996,0.01,14580150.0
11500,56.8,0.01,15217970.0
12000,59.4,0.01,15902390.0
12500,56.8,0.01,16542880.0
13000,53.0,0.01,17103020.0
13500,60.6,0.01,17820840.0
14000,62.6,0.01,18605220.0
14500,56.8,0.01,19239880.0
15000,57.8,0.01,19892860.0
15500,63.800000000000004,0.01,20696820.0
16000,57.599999999999994,0.01,21349010.0
16500,55.60000000000001,0.01,21980090.0
17000,55.2,0.01,22588440.0
17500,56.99999999999999,0.01,23232270.0
18000,55.2,0.01,23833190.0
18500,59.8,0.01,24542570.0
19000,56.8,0.01,25179110.0
19500,58.199999999999996,0.01,25857390.0
20000,58.8,0.01,26556540.0
20500,60.199999999999996,0.01,27273270.0
21000,61.6,0.01,28031170.0
21500,56.599999999999994,0.01,28650340.0
