Batalhas,WinRate_Bloco,Epsilon,Reward
500,67.2,0.22129568487082169,883370.0
1000,72.6,0.12300008726889294,1909560.0
1500,68.60000000000001,0.06774632091030734,2844430.0
2000,71.0,0.03838842392677235,3838950.0
2500,64.2,0.02136686389597783,4678800.0
3000,72.0,0.011901645604857578,5693890.0
3500,71.6,0.01,6704800.0
4000,68.0,0.01,7629070.0
4500,72.8,0.01,8672430.0
5000,69.0,0.01,9613350.0
5500,67.60000000000001,0.01,10528690.0
6000,67.2,0.01,11440880.0
6500,68.0,0.01,12363730.0
7000,71.0,0.01,13349930.0
7500,68.60000000000001,0.01,14297420.0
8000,68.4,0.01,15242340.0
8500,70.8,0.01,16233080.0
9000,74.0,0.01,17298960.0
9500,66.8,0.01,18198740.0
10000,71.6,0.01,19211330.0
10500,66.2,0.01,20103110.0
11000,68.60000000000001,0.01,21052190.0
11500,69.6,0.01,22017220.0
12000,65.0,0.01,22877940.0
12500,70.6,0.01,23862270.0
13000,72.8,0.01,24892650.0
13500,66.60000000000001,0.01,25792080.0
14000,68.60000000000001,0.01,26734030.0
14500,70.0,0.01,27711350.0
15000,69.6,0.01,28676670.0
