Batalhas,WinRate_Bloco,Epsilon,Reward
500,45.2,0.01,-203170.0
1000,48.4,0.01,-289210.0
1500,47.0,0.01,-444300.0
2000,49.8,0.01,-489580.0
2500,46.800000000000004,0.01,-640380.0
3000,49.2,0.01,-708840.0
3500,46.0,0.01,-875620.0
4000,48.0,0.01,-988820.0
4500,45.0,0.01,-1198930.0
5000,47.4,0.01,-1326910.0
5500,50.0,0.01,-1375030.0
6000,48.0,0.01,-1494370.0
6500,46.2,0.01,-1659950.0
7000,50.0,0.01,-1698050.0
7500,47.599999999999994,0.01,-1816910.0
8000,49.0,0.01,-1879050.0
8500,47.199999999999996,0.01,-2019650.0
9000,48.6,0.01,-2101420.0
9500,52.2,0.01,-2062840.0
10000,49.6,0.01,-2120330.0
10500,49.2,0.01,-2193250.0
11000,49.2,0.01,-2260940.0
11500,46.0,0.01,-2438560.0
12000,46.800000000000004,0.01,-2595340.0
12500,46.0,0.01,-2774390.0
13000,47.8,0.01,-2894100.0
13500,49.2,0.01,-2966460.0
14000,49.0,0.01,-3036090.0
14500,49.4,0.01,-3092690.0
15000,43.8,0.01,-3336180.0
15500,54.2,0.01,-3226030.0
16000,48.6,0.01,-3319100.0
16500,48.8,0.01,-3392830.0
17000,47.199999999999996,0.01,-3512210.0
17500,48.0,0.01,-3635950.0
18000,46.800000000000004,0.01,-3779790.0
18500,48.0,0.01,-3879000.0
19000,51.6,0.01,-3857130.0
19500,42.4,0.01,-4149810.0
20000,47.199999999999996,0.01,-4273470.0
