Batalhas,WinRate_Bloco,Epsilon,Reward
500,47.599999999999994,0.30249409392652193,-259230.0
1000,47.199999999999996,0.22425387042948386,-516920.0
1500,48.4,0.17028202056013925,-743480.0
2000,49.0,0.13024448349839654,-961840.0
2500,52.400000000000006,0.09879535237614871,-1061860.0
3000,51.6,0.07481420568194566,-1188880.0
3500,50.6,0.056738047466356294,-1347340.0
4000,53.6,0.05,-1418200.0
4500,56.00000000000001,0.05,-1413810.0
5000,52.2,0.05,-1512770.0
5500,52.0,0.05,-1623160.0
6000,51.2,0.05,-1758120.0
6500,50.8,0.05,-1894510.0
7000,49.4,0.05,-2083320.0
7500,50.4,0.05,-2246440.0
8000,52.0,0.05,-2353680.0
8500,50.8,0.05,-2502340.0
9000,54.400000000000006,0.05,-2548370.0
9500,51.4,0.05,-2671270.0
10000,48.0,0.05,-2913990.0
