Batalhas,WinRate_Bloco,Epsilon,Reward
500,43.8,0.2946362338560677,-384570.0
1000,48.6,0.22023134878889444,-629000.0
1500,49.8,0.16293242850155554,-822360.0
2000,48.4,0.12106318453534075,-1060530.0
2500,50.0,0.08945445112056485,-1258280.0
3000,47.8,0.0672694852136528,-1523280.0
3500,47.199999999999996,0.05,-1807050.0
4000,47.199999999999996,0.05,-2085670.0
4500,51.4,0.05,-2243350.0
5000,50.6,0.05,-2417960.0
5500,49.6,0.05,-2625860.0
6000,46.400000000000006,0.05,-2921560.0
6500,52.6,0.05,-3034210.0
7000,45.4,0.05,-3361040.0
7500,47.599999999999994,0.05,-3620080.0
8000,48.0,0.05,-3875820.0
8500,53.0,0.05,-3978280.0
9000,48.199999999999996,0.05,-4228440.0
9500,49.0,0.05,-4451680.0
10000,49.8,0.05,-4651170.0
