Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,54.8,0.242,79953,0
1000,54.2,0.235,154460,0
1500,52.4,0.227,202804,0
2000,52.8,0.220,261813,0
2500,55.0,0.212,343538,0
3000,51.8,0.205,389129,0
3500,55.6,0.197,484742,0
4000,53.8,0.190,559701,0
4500,55.4,0.182,648395,0
5000,54.2,0.175,729949,0
5500,55.4,0.167,818024,0
6000,53.4,0.160,886904,0
6500,55.8,0.152,981015,0
7000,53.8,0.145,1041732,0
7500,56.8,0.137,1157923,0
8000,54.0,0.130,1234263,0
8500,53.8,0.122,1303192,0
9000,57.2,0.115,1420075,0
9500,54.6,0.107,1500601,0
10000,54.2,0.100,1580928,0
