Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,39.6,0.337,-193356,0
1000,38.6,0.334,-410013,0
1500,38.8,0.331,-620249,0
2000,35.6,0.328,-882729,0
2500,39.2,0.325,-1078980,0
3000,40.2,0.322,-1261836,0
3500,38.2,0.319,-1488517,0
4000,36.8,0.316,-1731153,0
4500,38.6,0.313,-1948658,0
5000,43.0,0.310,-2084595,0
5500,39.2,0.307,-2281218,0
6000,39.8,0.304,-2458870,0
6500,42.8,0.301,-2601185,0
7000,40.4,0.298,-2780697,0
7500,37.2,0.295,-3013935,0
8000,37.8,0.292,-3227460,0
8500,36.0,0.289,-3492130,0
9000,39.8,0.286,-3679905,0
9500,34.2,0.283,-3970471,0
10000,36.6,0.280,-4227893,0
