Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca, Estados_Q
500,49.2,0.030,-11300,0,19.04,45.4,401219
1000,52.8,0.030,167700,0,19.06,45.4,401593
1500,53.0,0.030,358000,0,19.09,45.4,401957
2000,50.4,0.030,466800,0,19.11,45.4,402307
2500,47.6,0.030,384600,0,19.14,45.4,402668
3000,47.8,0.030,344400,0,19.16,45.5,403041
3500,49.8,0.030,386600,0,19.18,45.5,403406
4000,49.2,0.030,377900,0,19.21,45.5,403760
4500,50.6,0.030,427600,0,19.23,45.5,404142
5000,49.4,0.030,453600,0,19.26,45.5,404481
5500,51.2,0.030,574400,0,19.29,45.5,404766
6000,50.8,0.030,644700,0,19.31,45.6,405051
6500,50.0,0.030,722600,0,19.33,45.6,405375
7000,46.6,0.030,610000,0,19.35,45.6,405754
7500,52.0,0.030,787800,0,19.38,45.6,406035
8000,48.6,0.030,763700,0,19.41,45.6,406325
8500,48.8,0.030,776400,0,19.43,45.6,406637
9000,50.4,0.030,865600,0,19.46,45.6,406925
9500,49.6,0.030,900300,0,19.49,45.7,407265
10000,49.6,0.030,935100,0,19.51,45.7,407619
