Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,46.4,0.378,-135500,0,13.16,39.1,149537
1000,51.6,0.377,-600,0,13.09,39.0,151516
1500,50.0,0.375,84400,0,13.01,38.9,153581
2000,49.6,0.374,118900,0,12.97,38.9,155518
2500,50.4,0.372,212300,0,12.88,38.8,157757
3000,47.2,0.371,92500,0,12.81,38.7,159930
3500,50.0,0.370,168100,0,12.75,38.6,161976
4000,50.6,0.368,254700,0,12.69,38.5,163951
4500,50.4,0.367,333400,0,12.64,38.5,165887
5000,49.6,0.365,355600,0,12.60,38.5,167692
5500,48.0,0.363,298600,0,12.54,38.4,169739
6000,48.8,0.362,280500,0,12.50,38.4,171636
6500,46.6,0.360,156200,0,12.47,38.4,173338
7000,49.0,0.358,191100,0,12.43,38.4,175164
7500,47.2,0.357,100300,0,12.39,38.4,177001
8000,44.6,0.355,-136800,0,12.35,38.3,178836
8500,48.8,0.354,-137200,0,12.32,38.3,180679
9000,46.0,0.352,-296100,0,12.32,38.3,182320
9500,47.8,0.350,-359500,0,12.30,38.3,184007
10000,47.4,0.348,-465000,0,12.27,38.3,185778
